rec,card,map,tags,k,target,outcome,dwell,dwell_obj,dwell_s,gated,gated_obj,n_seg,theta_unit,theta_trial,head_src,head_frames,dist_m,occluded,blocker,walking,window_src
2026_08_16/000,e1,v7,,1,苹果,hit,correct,苹果,5.05,correct,苹果,3,4.22,4.22,window,33,1.69,0.0,,0,schedule
2026_08_16/000,e1,v7,,2,网球M,hit,correct,球M,3.35,correct,球M,2,8.3,8.33,window,34,1.41,0.0,,0,schedule
2026_08_16/000,e1,v7,,3,石榴,hit,correct,石榴,5.72,correct,石榴,2,6.02,5.98,window,34,1.68,0.0,,0,schedule
2026_08_16/000,e1,v7,,4,香蕉,miss,wrong,球L,3.88,wrong,球M,4,4.22,4.25,window,34,1.56,0.0,(unnamed),0,schedule
2026_08_16/000,e1,v7,,5,网球R,hit,correct,球R,3.01,correct,球R,2,6.02,6.01,window,34,1.49,0.0,,0,schedule
2026_08_16/000,e1,v7,,6,网球L,hit,correct,球L,3.07,correct,球L,4,5.53,5.29,window,33,1.42,0.0,,0,schedule
2026_08_16/000,e1,v7,,7,网球M,hit,correct,球M,5.02,correct,球M,7,8.3,8.29,window,34,1.42,0.0,,0,schedule
2026_08_16/000,e1,v7,,8,石榴,hit,correct,石榴,3.53,correct,石榴,1,6.02,5.97,window,34,1.68,0.0,,0,schedule
2026_08_16/000,e1,v7,,9,香蕉,miss,wrong,苹果,3.47,none,,4,4.22,4.09,window,34,1.58,0.0,(unnamed),0,schedule
2026_08_16/000,e1,v7,,10,网球L,hit,correct,球L,3.6,correct,球L,1,5.53,5.33,window,34,1.42,0.0,,0,schedule
2026_08_16/000,e1,v7,,11,苹果,hit,correct,苹果,3.8,correct,苹果,4,4.22,4.23,window,34,1.69,0.0,,0,schedule
2026_08_16/000,e1,v7,,12,网球R,hit,correct,球R,5.75,correct,球R,1,6.02,6.07,window,33,1.48,0.0,,0,schedule
2026_08_16/001,e2,v7,stress,1,网球L,hit,correct,球L,2.17,none,,2,2.1,2.19,window,35,3.12,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,2,网球R,miss,wrong,球M,4.06,none,,6,1.56,1.57,window,78,3.24,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,3,苹果,miss,none,,0.0,none,,0,1.38,1.38,no_window,927,3.53,0.0,,0,none
2026_08_16/001,e2,v7,stress,4,石榴,miss,none,,0.0,none,,0,1.56,1.56,no_window,927,3.47,0.0,,0,none
2026_08_16/001,e2,v7,stress,5,网球M,hit,correct,球M,1.68,correct,球M,1,3.21,3.2,window,23,3.21,0.0,,0,lcs_episode
2026_08_16/001,e2,v7,stress,6,香蕉,miss,none,,0.0,none,,0,1.38,1.38,no_window,927,3.38,0.0,(unnamed),0,none
2026_08_16/001,e2,v7,stress,7,苹果,miss,none,,0.0,none,,0,1.38,1.38,no_window,927,3.53,0.0,,0,none
2026_08_16/001,e2,v7,stress,8,石榴,miss,none,,0.0,none,,0,1.56,1.56,no_window,927,3.47,0.0,,0,none
2026_08_16/001,e2,v7,stress,9,香蕉,miss,none,,0.0,none,,0,1.38,1.38,no_window,927,3.38,0.0,(unnamed),0,none
2026_08_16/001,e2,v7,stress,10,网球R,miss,wrong,球M,5.8,none,,2,1.56,1.55,window,64,3.26,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,11,网球L,miss,wrong,球M,6.23,none,,3,2.1,2.09,window,72,3.23,0.0,(unnamed),0,lcs_episode
2026_08_16/001,e2,v7,stress,12,网球M,hit,correct,球M,1.68,correct,球M,3,3.21,3.19,window,28,3.21,0.0,,0,lcs_episode
2026_08_16/s1,s1,v7,,1,网球R,hit,correct,球R,5.8,correct,球R,3,5.41,5.41,window,34,1.6,0.0,,0,schedule
2026_08_16/s1,s1,v7,,2,网球L,hit,correct,球L,6.5,correct,球L,1,5.02,4.98,window,34,1.52,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,3,网球M,hit,correct,球M,4.33,correct,球M,2,7.69,7.82,window,34,1.51,0.0,,0,schedule
2026_08_16/s1,s1,v7,,4,网球L,hit,correct,球L,4.22,correct,球L,3,5.02,4.94,window,34,1.52,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,5,网球M,hit,correct,球M,6.01,correct,球M,1,7.69,7.73,window,33,1.52,0.0,,0,schedule
2026_08_16/s1,s1,v7,,6,网球M,hit,correct,球M,5.69,correct,球M,4,7.69,7.78,window,34,1.51,0.0,,0,schedule
2026_08_16/s1,s1,v7,,7,网球R,hit,correct,球R,6.39,correct,球R,2,5.41,5.46,window,32,1.58,0.0,,0,schedule
2026_08_16/s1,s1,v7,,8,网球L,hit,correct,球L,5.2,correct,球L,2,5.02,4.91,window,34,1.53,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,9,网球L,hit,correct,球L,6.23,correct,球L,1,5.02,4.92,window,34,1.53,0.0,(unnamed),0,schedule
2026_08_16/s1,s1,v7,,10,网球M,hit,correct,球M,3.85,correct,球M,6,7.69,7.68,window,34,1.52,0.0,,0,schedule
2026_08_16/s1,s1,v7,,11,网球R,hit,correct,球R,3.9,correct,球R,1,5.41,5.42,window,34,1.59,0.0,,0,schedule
2026_08_16/s1,s1,v7,,12,网球M,hit,correct,球M,6.77,correct,球M,2,7.69,7.72,window,34,1.51,0.0,,0,schedule
2026_08_16/s1,s1,v7,,13,网球R,hit,correct,球R,6.72,correct,球R,1,5.41,5.35,window,33,1.6,0.0,,0,schedule
2026_08_16/s1,s1,v7,,14,网球R,hit,correct,球R,6.61,correct,球R,3,5.41,5.2,window,34,1.6,0.0,,0,schedule
2026_08_16/s1,s1,v7,,15,网球L,hit,correct,球L,6.72,correct,球L,1,5.02,4.93,window,34,1.53,0.0,(unnamed),0,schedule
2026_08_16/s2,s2,v7,,1,网球M,hit,correct,球M,3.63,correct,球M,1,4.47,4.58,window,34,2.37,0.0,,0,schedule
2026_08_16/s2,s2,v7,,2,网球R,hit,correct,球R,6.23,correct,球R,2,2.55,2.59,window,34,2.44,0.0,,0,schedule
2026_08_16/s2,s2,v7,,3,网球M,hit,correct,球M,4.28,correct,球M,5,4.47,4.54,window,34,2.38,0.0,,0,schedule
2026_08_16/s2,s2,v7,,4,网球R,hit,correct,球R,6.23,none,,3,2.55,2.6,window,33,2.43,0.0,,0,schedule
2026_08_16/s2,s2,v7,,5,网球L,miss,wrong,苹果,5.8,none,,3,2.85,2.88,window,34,2.41,0.0,(unnamed),0,schedule
2026_08_16/s2,s2,v7,,6,网球R,hit,correct,球R,6.01,none,,2,2.55,2.62,window,34,2.42,0.0,,0,schedule
2026_08_16/s2,s2,v7,,7,网球M,hit,correct,球M,3.25,correct,球M,4,4.47,4.48,window,33,2.41,0.0,,0,schedule
2026_08_16/s2,s2,v7,,8,网球L,miss,wrong,苹果,5.85,none,,1,2.85,2.81,window,34,2.44,0.0,(unnamed),0,schedule
2026_08_16/s2,s2,v7,,9,网球R,hit,correct,球R,2.6,none,,1,2.55,2.52,window,34,2.49,0.0,,0,schedule
2026_08_16/s2,s2,v7,,10,网球R,hit,correct,球R,5.15,none,,3,2.55,2.45,window,34,2.47,0.0,,0,schedule
2026_08_16/s2,s2,v7,,11,网球M,hit,correct,球M,3.52,correct,球M,5,4.47,4.49,window,34,2.41,0.0,,0,schedule
2026_08_16/s2,s2,v7,,12,网球L,hit,correct,球L,5.05,none,,3,2.85,2.86,window,34,2.43,0.0,(unnamed),0,schedule
2026_08_16/s2,s2,v7,,13,网球M,hit,correct,球M,2.65,correct,球M,3,4.47,4.42,window,34,2.41,0.0,,0,schedule
2026_08_16/s2,s2,v7,,14,网球L,miss,wrong,苹果,3.68,none,,3,2.85,2.85,window,34,2.45,0.0,(unnamed),0,schedule
2026_08_16/s2,s2,v7,,15,网球L,hit,correct,球L,1.3,wrong,球M,3,2.85,2.69,window,30,2.43,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,1,网球M,hit,correct,球M,2.55,correct,球M,4,3.19,3.18,window,31,3.28,0.0,,0,schedule
2026_08_16/s3,s3,v7,,2,网球L,miss,wrong,球M,5.69,none,,2,2.0,1.99,window,33,3.29,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,3,网球L,miss,wrong,苹果,4.01,none,,2,2.0,1.98,window,34,3.3,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,4,网球M,hit,correct,球M,2.17,correct,球M,4,3.19,3.2,window,34,3.26,0.0,,0,schedule
2026_08_16/s3,s3,v7,,5,网球R,hit,correct,球R,6.34,none,,1,1.53,1.52,window,34,3.32,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,6,网球R,hit,correct,球R,6.45,none,,1,1.53,1.51,window,33,3.32,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,7,网球L,miss,wrong,球M,2.22,none,,4,2.0,2.0,window,34,3.29,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,8,网球L,miss,wrong,苹果,5.96,none,,1,2.0,2.0,window,34,3.3,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,9,网球M,hit,correct,球M,6.39,correct,球M,3,3.19,3.17,window,34,3.28,0.0,,0,schedule
2026_08_16/s3,s3,v7,,10,网球R,miss,wrong,球M,1.46,wrong,球M,3,1.53,1.52,window,34,3.33,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,11,网球L,miss,wrong,球M,5.04,none,,2,2.0,1.98,window,33,3.29,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,12,网球M,hit,correct,球M,1.95,correct,球M,2,3.19,3.21,window,34,3.27,0.0,,0,schedule
2026_08_16/s3,s3,v7,,13,网球R,hit,correct,球R,6.34,none,,2,1.53,1.52,window,34,3.32,0.0,(unnamed),0,schedule
2026_08_16/s3,s3,v7,,14,网球M,hit,correct,球M,2.06,correct,球M,3,3.19,3.2,window,34,3.27,0.0,,0,schedule
2026_08_16/s3,s3,v7,,15,网球R,hit,correct,球R,7.1,none,,1,1.53,1.52,window,34,3.32,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,1,网球L,hit,correct,球L,4.17,correct,球L,2,1.67,1.71,window,32,3.74,0.0,(unnamed),0,schedule
2026_08_16/s4,s4,v8,,2,网球L,hit,correct,球L,6.12,correct,球L,2,1.67,1.71,window,33,3.74,0.0,(unnamed),0,schedule
