rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_16/001,11,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.28,0,none,,,,,none,hit,correct,球L,0.491,0.819,0.071,correct_only,hit,0.188,0.491,,
2026_08_16/s3,2,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,0.53,0.972,0.009,correct_only,hit,0.147,0.53,,
2026_08_16/s3,3,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,0.538,1.0,0.0,correct_only,hit,0.19,0.538,,
2026_08_16/s3,13,球R,1.0–2.5°,clear,,1.53,3.38,1,none,,,,,none,hit,correct,球R,0.299,1.0,0.0,correct_only,hit,0.135,0.299,,
2026_08_16/s4,3,球M,≥2.5°,clear,,2.82,3.8,1,wrong,球L,0.611,0.929,0.026,mixed,miss,wrong,球L,0.805,0.882,0.042,mixed,miss,0.413,0.556,0.611,0.805
2026_08_16/s4,11,球R,1.0–2.5°,clear,,1.28,3.8,1,wrong,球M,0.642,0.744,0.104,wrong_only,hit,wrong,球M,0.813,0.739,0.111,mixed,hit,0.168,0.298,0.642,0.813
2026_08_16/s6,6,球R,1.0–2.5°,clear,,1.85,4.54,1,wrong,球M,0.685,0.891,0.105,wrong_only,hit,correct,球R,0.297,0.984,0.01,mixed,hit,0.095,0.297,0.685,0.821
2026_08_18/000,4,球R,1.0–2.5°,clear,,2.19,3.37,1,wrong,球M,0.377,0.736,0.395,wrong_only,miss,correct,球R,0.348,0.945,0.052,mixed,miss,0.182,0.348,0.377,0.412
2026_08_20/000,2,香蕉,<1.0°,clear,,0.41,2.25,1,wrong,球M,1.302,0.689,0.109,wrong_only,miss,none,,,,,none,miss,,,1.302,1.262
2026_08_20/000,7,红杯,1.0–2.5°,clear,,1.84,2.31,1,wrong,白杯2,0.882,0.593,0.46,wrong_only,miss,correct,红杯,0.929,0.558,0.692,correct_only,miss,,0.929,1.043,1.072
2026_08_20/000,8,苹果红,<1.0°,clear,,0.41,2.26,1,wrong,球L,1.003,0.503,0.621,wrong_only,miss,none,,,,,none,hit,,0.575,1.25,1.24
2026_08_20/000,9,球M,1.0–2.5°,clear,,1.83,2.23,1,correct,球M,0.587,0.745,0.095,mixed,hit,wrong,水瓶,0.2,0.834,0.62,wrong_only,hit,1.278,1.25,0.659,0.646
2026_08_20/000,10,橘子,<1.0°,clear,,0.41,2.35,1,wrong,苹果红,0.648,0.561,0.34,wrong_only,miss,none,,,,,none,hit,,0.811,0.648,
2026_08_20/001,2,球R,1.0–2.5°,clear,,1.28,3.19,0,correct,球R,0.525,0.388,0.333,correct_only,hit,none,,,,,none,hit,0.525,0.564,,
2026_08_20/001,4,球L,1.0–2.5°,clear,,1.03,3.13,0,correct,球L,1.264,0.51,0.289,correct_only,hit,wrong,苹果粉,0.798,0.76,0.148,wrong_only,hit,1.443,1.503,0.177,0.798
2026_08_20/001,7,球M,<1.0°,clear,,0.89,3.27,0,correct,球M,0.912,0.624,0.082,correct_only,hit,none,,,,,none,hit,0.947,1.02,,
2026_08_20/001,10,球R,1.0–2.5°,clear,,1.28,3.28,0,correct,球R,1.234,0.471,0.281,correct_only,hit,wrong,苹果粉,1.447,0.567,0.514,wrong_only,hit,1.234,1.346,0.673,1.447
2026_08_20/001,11,球M,<1.0°,clear,,0.89,3.25,0,correct,球M,0.322,0.647,0.165,correct_only,hit,none,,,,,none,hit,0.839,0.922,0.038,0.086
2026_08_20/001,12,白杯2,,clear,,,3.27,0,correct,白杯2,0.817,0.484,0.864,correct_only,hit,none,,,,,none,hit,0.817,0.908,,0.773
2026_08_20/001,13,白杯2,,clear,,,3.27,0,correct,白杯2,0.817,0.484,0.864,correct_only,miss,none,,,,,none,miss,0.817,0.908,,0.773
2026_08_20/001,14,球L,1.0–2.5°,clear,,1.03,3.23,0,correct,球L,0.656,0.481,0.45,correct_only,hit,wrong,苹果粉,1.108,0.51,0.655,wrong_only,hit,1.053,1.178,,1.108
2026_08_20/002,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.2,0,correct,球L,0.304,0.664,0.204,correct_only,hit,none,,,,,none,hit,0.693,0.862,,
2026_08_20/002,10,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.26,0,none,,,,,none,hit,none,,,,,none,hit,0.334,,,0.513
2026_08_20/002,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.29,0,correct,球L,0.469,0.619,0.26,correct_only,hit,none,,,,,none,hit,1.188,1.363,,1.155
2026_08_20/003,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.27,0,correct,球L,0.402,0.587,0.376,correct_only,hit,none,,,,,none,hit,0.575,1.591,,
2026_08_20/003,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.36,0,correct,球L,0.235,0.358,0.549,correct_only,hit,none,,,,,none,hit,0.235,,,0.69
2026_08_25/c1_1,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.04,0,none,,,,,none,hit,none,,,,,none,hit,0.007,,,0.035
2026_08_25/c1_1,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.12,0,none,,,,,none,hit,none,,,,,none,hit,0.001,,,0.01
2026_08_25/c1_1,8,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.13,0,none,,,,,none,hit,none,,,,,none,hit,0.013,,,0.033
2026_08_25/c1_1,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.18,0,correct,球L,0.418,0.574,0.565,correct_only,hit,none,,,,,none,hit,0.418,0.518,,
2026_08_25/c1_2,4,球M,<1.0°,clear,,0.65,4.25,1,correct,球M,0.49,0.415,0.631,correct_only,hit,none,,,,,none,hit,0.49,0.576,,
2026_08_25/c1_2,6,球L,1.0–2.5°,clear,,1.04,4.24,1,correct,球L,0.874,0.45,0.379,correct_only,hit,none,,,,,none,hit,0.874,1.073,,
2026_08_25/c1_2,11,球L,1.0–2.5°,clear,,1.04,4.22,1,correct,球L,0.847,0.413,0.643,correct_only,hit,none,,,,,none,hit,0.847,1.09,,
2026_08_25/c1_2,14,球M,<1.0°,clear,,0.65,4.26,1,correct,球M,0.541,0.391,0.704,correct_only,hit,none,,,,,none,hit,0.62,0.789,,
2026_08_25/c1_3,1,球L,1.0–2.5°,clear,,1.19,3.72,0,correct,球L,0.592,0.606,0.4,correct_only,hit,none,,,,,none,hit,0.604,0.744,,0.08
2026_08_25/c1_3,4,球M,<1.0°,clear,,0.77,3.74,0,correct,球M,0.342,0.541,0.398,correct_only,hit,none,,,,,none,hit,1.146,1.243,,0.801
2026_08_25/c1_3,5,球M,<1.0°,clear,,0.77,3.74,0,correct,球M,0.342,0.541,0.398,correct_only,hit,none,,,,,none,miss,1.146,1.243,,0.801
2026_08_25/c1_3,10,球M,<1.0°,clear,,0.77,3.73,0,correct,球M,0.363,0.498,0.416,correct_only,hit,none,,,,,none,hit,0.363,0.433,,
2026_08_25/c1_3,11,球L,1.0–2.5°,clear,,1.19,3.71,0,correct,球L,0.938,0.478,0.512,correct_only,hit,none,,,,,none,hit,0.938,1.132,,
2026_08_25/u3,1,球L,1.0–2.5°,clear,walking,1.36,2.8,1,correct,球L,0.307,0.787,0.121,correct_only,hit,none,,,,,none,hit,0.307,0.317,,
2026_08_25/u3,2,球M,1.0–2.5°,clear,walking,1.44,2.82,1,wrong,球L,0.69,0.881,0.023,mixed,hit,wrong,球L,0.752,0.434,0.234,wrong_only,hit,0.312,0.312,0.69,0.752
2026_08_25/u3,3,球R,1.0–2.5°,clear,walking,1.75,2.27,1,none,,,,,none,hit,none,,,,,none,miss,0.049,,0.133,0.118
2026_08_25/u3,4,球M,1.0–2.5°,clear,walking,1.44,2.84,1,none,,,,,none,miss,wrong,水瓶,0.215,0.811,0.791,wrong_only,miss,0.168,,0.008,0.215
2026_08_25/u3,6,球L,1.0–2.5°,clear,walking,1.36,2.92,1,correct,球L,0.235,0.749,0.179,correct_only,hit,wrong,苹果粉,0.264,0.372,0.981,wrong_only,hit,0.235,0.167,,0.264
2026_08_25/u3,7,球M,1.0–2.5°,clear,walking,1.44,2.63,1,correct,球M,1.16,0.504,0.142,mixed,hit,none,,,,,none,hit,1.16,1.136,0.487,0.503
2026_08_25/u3,9,球L,1.0–2.5°,clear,walking,1.36,2.71,1,wrong,球M,0.487,0.739,0.076,mixed,hit,wrong,苹果粉,0.639,0.458,0.499,mixed,hit,0.809,0.849,0.487,0.639
