rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,v1_first,v1_obj,v1_cap,v1_share,v1_A,v1_any,v1_lcs,ours_best_target_cap,v1_best_target_cap,ours_best_wrong_cap,v1_best_wrong_cap
2026_08_16/000,5,球R,≥2.5°,clear,,6.01,1.48,1,none,,,,,none,hit,correct,球R,,0.999,,correct_only,hit,0.183,0.0,,0.0
2026_08_16/000,10,球L,≥2.5°,clear,,5.53,1.49,1,none,,,,,none,hit,wrong,香蕉,,0.592,,wrong_only,hit,0.189,,,0.0
2026_08_16/000,12,球R,≥2.5°,clear,,6.01,1.47,1,none,,,,,none,hit,correct,球R,,1.0,,correct_only,hit,0.135,0.0,,
2026_08_16/001,1,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.17,0,none,,,,,none,hit,correct,球L,,0.896,,correct_only,hit,0.005,0.0,,
2026_08_16/001,5,球M,≥2.5°,occluded(front-capture),stress,3.21,3.61,0,none,,,,,none,hit,correct,球M,,0.963,,correct_only,hit,0.093,0.0,,
2026_08_16/001,11,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.28,0,none,,,,,none,hit,correct,球L,,0.695,,correct_only,hit,0.188,0.0,,
2026_08_16/s3,1,球M,≥2.5°,clear,,3.19,3.45,1,none,,,,,none,hit,correct,球M,,0.994,,correct_only,hit,0.15,0.0,,
2026_08_16/s3,2,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,,0.813,,correct_only,hit,0.147,0.0,,
2026_08_16/s3,3,球L,1.0–2.5°,clear,,2.0,3.35,1,none,,,,,none,hit,correct,球L,,0.841,,correct_only,hit,0.19,0.0,,
2026_08_16/s3,13,球R,1.0–2.5°,clear,,1.53,3.38,1,none,,,,,none,hit,correct,球R,,0.873,,correct_only,hit,0.135,0.0,,
2026_08_16/s4,1,球L,1.0–2.5°,clear,,1.67,3.81,1,none,,,,,none,hit,correct,球L,,0.929,,correct_only,hit,0.071,0.0,,
2026_08_16/s4,2,球L,1.0–2.5°,clear,,1.67,3.8,1,none,,,,,none,hit,correct,球L,,0.979,,correct_only,hit,0.062,0.0,,
2026_08_16/s4,4,球R,1.0–2.5°,clear,,1.28,3.95,1,none,,,,,none,hit,wrong,球M,,0.78,,mixed,hit,0.015,0.0,0.008,0.0
2026_08_16/s4,5,球R,1.0–2.5°,clear,,1.28,3.87,1,none,,,,,none,hit,correct,球R,,0.902,,correct_only,hit,0.002,0.0,,
2026_08_16/s4,11,球R,1.0–2.5°,clear,,1.28,3.8,1,wrong,球M,0.642,0.744,0.104,wrong_only,hit,wrong,球M,,0.589,,mixed,hit,0.168,0.0,0.642,0.0
2026_08_16/s6,3,球R,1.0–2.5°,clear,,1.85,4.56,1,none,,,,,none,hit,correct,球R,,0.739,,correct_only,hit,0.062,0.0,,
2026_08_16/s6,6,球R,1.0–2.5°,clear,,1.85,4.54,1,wrong,球M,0.685,0.891,0.105,wrong_only,hit,correct,球R,,0.679,,mixed,hit,0.095,0.0,0.685,0.0
2026_08_18/000,4,球R,1.0–2.5°,clear,,2.19,3.37,1,wrong,球M,0.377,0.736,0.395,wrong_only,miss,correct,球R,,0.57,,mixed,miss,0.182,0.0,0.377,0.0
2026_08_20/000,5,白杯1,1.0–2.5°,clear,,1.84,2.3,1,correct,白杯1,0.612,0.608,0.657,correct_only,hit,correct,白杯1,,0.367,,correct_only,hit,0.612,0.0,0.381,0.0
2026_08_20/001,2,球R,1.0–2.5°,clear,,1.28,3.19,0,correct,球R,0.525,0.388,0.333,correct_only,hit,none,,,,,none,hit,0.525,0.0,,
2026_08_20/001,4,球L,1.0–2.5°,clear,,1.03,3.13,0,correct,球L,1.264,0.51,0.289,correct_only,hit,wrong,苹果粉,,0.567,,wrong_only,hit,1.443,0.0,0.177,0.0
2026_08_20/001,7,球M,<1.0°,clear,,0.89,3.27,0,correct,球M,0.912,0.624,0.082,correct_only,hit,none,,,,,none,miss,0.947,0.0,,0.0
2026_08_20/001,10,球R,1.0–2.5°,clear,,1.28,3.28,0,correct,球R,1.234,0.471,0.281,correct_only,hit,none,,,,,none,hit,1.234,0.0,0.673,0.0
2026_08_20/001,11,球M,<1.0°,clear,,0.89,3.25,0,correct,球M,0.322,0.647,0.165,correct_only,hit,none,,,,,none,hit,0.839,0.0,0.038,0.0
2026_08_20/001,14,球L,1.0–2.5°,clear,,1.03,3.23,0,correct,球L,0.656,0.481,0.45,correct_only,hit,none,,,,,none,hit,1.053,0.0,,0.0
2026_08_20/001,15,苹果红,<1.0°,clear,,0.13,3.24,0,none,,,,,none,hit,none,,,,,none,miss,0.847,,,0.0
2026_08_20/002,4,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.18,0,none,,,,,none,hit,none,,,,,none,miss,0.994,,,0.0
2026_08_20/002,5,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.18,0,none,,,,,none,miss,none,,,,,none,miss,0.994,,,0.0
2026_08_20/002,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.2,0,correct,球L,0.304,0.664,0.204,correct_only,hit,none,,,,,none,hit,0.693,0.0,,0.0
2026_08_20/002,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.29,0,correct,球L,0.469,0.619,0.26,correct_only,hit,wrong,苹果粉,,0.381,,wrong_only,hit,1.188,0.0,,0.0
2026_08_20/002,12,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.35,0,none,,,,,none,hit,none,,,,,none,hit,0.706,,,0.0
2026_08_20/002,13,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.33,0,none,,,,,none,hit,none,,,,,none,miss,1.05,,,0.0
2026_08_20/002,15,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.22,0,none,,,,,none,hit,none,,,,,none,miss,0.315,,,0.0
2026_08_20/003,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.27,0,correct,球L,0.402,0.587,0.376,correct_only,hit,none,,,,,none,hit,0.575,0.0,,0.0
2026_08_20/003,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.36,0,correct,球L,0.235,0.358,0.549,correct_only,hit,none,,,,,none,hit,0.235,0.0,,
2026_08_20/003,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.36,0,none,,,,,none,hit,none,,,,,none,hit,0.332,0.0,,0.0
2026_08_20/003,13,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,4.39,0,none,,,,,none,hit,none,,,,,none,miss,0.199,,,0.0
2026_08_20/003,15,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,4.35,0,none,,,,,none,hit,none,,,,,none,miss,0.491,,,0.0
2026_08_25/c1_1,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.04,0,none,,,,,none,hit,correct,球L,,0.379,,correct_only,hit,0.007,0.0,,
2026_08_25/c1_1,10,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,4.18,0,none,,,,,none,hit,none,,,,,none,miss,0.04,,,0.0
2026_08_25/c1_1,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.18,0,correct,球L,0.418,0.574,0.565,correct_only,hit,none,,,,,none,hit,0.418,0.0,,
2026_08_25/c1_1,12,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,4.2,0,none,,,,,none,hit,none,,,,,none,miss,0.675,,,0.0
2026_08_25/c1_1,14,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,4.19,0,none,,,,,none,hit,none,,,,,none,miss,0.894,,,0.0
2026_08_25/c1_2,3,球R,<1.0°,clear,,0.81,4.29,1,correct,球R,0.39,0.578,0.451,correct_only,hit,none,,,,,none,hit,0.39,0.0,,
2026_08_25/c1_2,4,球M,<1.0°,clear,,0.65,4.25,1,correct,球M,0.49,0.415,0.631,correct_only,hit,none,,,,,none,miss,0.49,,,0.0
2026_08_25/c1_2,5,球M,<1.0°,clear,,0.65,4.25,1,none,,,,,none,hit,none,,,,,none,miss,0.926,,,0.0
2026_08_25/c1_2,6,球L,1.0–2.5°,clear,,1.04,4.24,1,correct,球L,0.874,0.45,0.379,correct_only,hit,none,,,,,none,hit,0.874,0.0,,
2026_08_25/c1_2,9,球L,1.0–2.5°,clear,,1.04,4.26,1,none,,,,,none,hit,none,,,,,none,hit,0.181,,,0.0
