rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,noocc_ng_first,noocc_ng_obj,noocc_ng_cap,noocc_ng_share,noocc_ng_A,noocc_ng_any,noocc_ng_lcs,ours_best_target_cap,noocc_ng_best_target_cap,ours_best_wrong_cap,noocc_ng_best_wrong_cap
2026_08_16/000,1,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,1.005,0.999,0.001,mixed,hit,correct,苹果,0.996,0.999,0.001,mixed,hit,1.005,0.996,0.404,0.399
2026_08_16/000,2,球M,≥2.5°,clear,,8.3,1.42,1,correct,球M,0.367,1.0,0.0,correct_only,hit,correct,球M,0.362,1.0,0.0,correct_only,hit,0.898,0.873,,
2026_08_16/000,3,石榴,≥2.5°,clear,,6.01,1.64,1,correct,石榴,0.513,1.0,0.0,correct_only,hit,correct,石榴,0.486,1.0,0.0,correct_only,hit,0.513,0.487,,
2026_08_16/000,4,香蕉,≥2.5°,clear,,4.22,1.52,1,correct,香蕉,0.529,1.0,0.0,correct_only,hit,correct,香蕉,0.487,1.0,0.0,correct_only,hit,0.602,0.572,,
2026_08_16/000,5,球R,≥2.5°,clear,,6.01,1.48,1,none,,,,,none,hit,none,,,,,none,hit,0.183,0.186,,
2026_08_16/000,6,球L,≥2.5°,clear,,5.53,1.46,1,correct,球L,0.533,0.985,0.011,mixed,hit,correct,球L,0.621,0.99,0.008,mixed,hit,0.562,0.621,0.346,0.325
2026_08_16/000,7,球M,≥2.5°,clear,,8.3,1.46,1,correct,球M,0.408,1.0,0.0,correct_only,hit,correct,球M,0.407,1.0,0.0,correct_only,hit,0.599,0.579,,
2026_08_16/000,8,石榴,≥2.5°,clear,,6.01,1.65,1,correct,石榴,0.298,1.0,0.0,correct_only,hit,correct,石榴,0.268,1.0,0.0,correct_only,hit,0.298,0.268,,
2026_08_16/000,9,香蕉,≥2.5°,clear,,4.22,1.6,1,correct,香蕉,0.512,1.0,0.0,correct_only,hit,correct,香蕉,0.501,1.0,0.0,correct_only,hit,0.544,0.531,,
2026_08_16/000,10,球L,≥2.5°,clear,,5.53,1.49,1,none,,,,,none,hit,none,,,,,none,hit,0.189,0.197,,
2026_08_16/000,11,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,0.341,0.99,0.006,correct_only,hit,correct,苹果,0.343,0.994,0.006,correct_only,hit,0.341,0.343,,
2026_08_16/000,12,球R,≥2.5°,clear,,6.01,1.47,1,none,,,,,none,hit,none,,,,,none,hit,0.135,0.135,,
2026_08_16/001,1,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.17,0,none,,,,,none,hit,none,,,,,none,hit,0.005,0.187,,
2026_08_16/001,2,球R,1.0–2.5°,occluded(front-capture),stress,1.56,3.31,0,wrong,球L,0.528,0.714,0.119,mixed,hit,wrong,球L,1.096,0.826,0.056,mixed,hit,0.624,1.004,0.528,1.096
2026_08_16/001,3,苹果,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,4,石榴,1.0–2.5°,occluded(front-capture),stress,1.56,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,5,球M,≥2.5°,occluded(front-capture),stress,3.21,3.61,0,none,,,,,none,hit,none,,,,,none,hit,0.093,0.008,,
2026_08_16/001,6,香蕉,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,7,苹果,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,8,石榴,1.0–2.5°,occluded(front-capture),stress,1.56,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,9,香蕉,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,10,球R,1.0–2.5°,occluded(front-capture),stress,1.56,3.33,0,correct,球R,0.391,0.719,0.286,correct_only,hit,correct,球R,0.575,0.759,0.233,correct_only,hit,0.391,0.575,,
2026_08_16/001,11,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.28,0,none,,,,,none,hit,correct,球L,0.491,0.819,0.071,correct_only,hit,0.188,0.491,,
2026_08_16/001,12,球M,≥2.5°,occluded(front-capture),stress,3.21,3.71,0,correct,球M,0.212,1.0,0.0,correct_only,hit,correct,球M,0.304,1.0,0.0,correct_only,miss,0.513,0.304,,
2026_08_16/s1,1,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,0.839,1.0,0.0,correct_only,hit,correct,球R,0.91,1.0,0.0,correct_only,hit,1.018,1.056,,
2026_08_16/s1,2,球L,≥2.5°,clear,,5.02,1.53,1,correct,球L,0.915,1.0,0.0,correct_only,hit,correct,球L,1.012,1.0,0.0,correct_only,hit,0.915,1.012,,
2026_08_16/s1,3,球M,≥2.5°,clear,,7.69,1.49,1,correct,球M,1.03,1.0,0.0,correct_only,hit,correct,球M,0.998,1.0,0.0,correct_only,hit,1.03,0.998,,
2026_08_16/s1,4,球L,≥2.5°,clear,,5.02,1.54,1,correct,球L,0.738,1.0,0.0,correct_only,hit,correct,球L,0.746,1.0,0.0,correct_only,hit,0.891,0.988,0.141,0.132
2026_08_16/s1,5,球M,≥2.5°,clear,,7.69,1.5,1,correct,球M,1.056,1.0,0.0,correct_only,hit,correct,球M,1.019,1.0,0.0,correct_only,hit,1.056,1.019,,
2026_08_16/s1,6,球M,≥2.5°,clear,,7.69,1.49,1,correct,球M,1.072,1.0,0.0,correct_only,hit,correct,球M,1.006,1.0,0.0,correct_only,hit,1.127,1.089,,
