rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,v1_first,v1_obj,v1_cap,v1_share,v1_A,v1_any,v1_lcs,ours_best_target_cap,v1_best_target_cap,ours_best_wrong_cap,v1_best_wrong_cap
2026_08_16/000,1,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,1.005,0.999,0.001,mixed,hit,correct,苹果,,0.904,,mixed,hit,1.005,0.0,0.404,0.0
2026_08_16/000,2,球M,≥2.5°,clear,,8.3,1.42,1,correct,球M,0.367,1.0,0.0,correct_only,hit,correct,球M,,1.0,,correct_only,hit,0.898,0.0,,
2026_08_16/000,3,石榴,≥2.5°,clear,,6.01,1.64,1,correct,石榴,0.513,1.0,0.0,correct_only,hit,correct,石榴,,0.991,,correct_only,hit,0.513,0.0,,
2026_08_16/000,4,香蕉,≥2.5°,clear,,4.22,1.52,1,correct,香蕉,0.529,1.0,0.0,correct_only,hit,correct,香蕉,,0.94,,correct_only,hit,0.602,0.0,,
2026_08_16/000,5,球R,≥2.5°,clear,,6.01,1.48,1,none,,,,,none,hit,correct,球R,,0.999,,correct_only,hit,0.183,0.0,,0.0
2026_08_16/000,6,球L,≥2.5°,clear,,5.53,1.46,1,correct,球L,0.533,0.985,0.011,mixed,hit,correct,球L,,0.759,,mixed,hit,0.562,0.0,0.346,0.0
2026_08_16/000,7,球M,≥2.5°,clear,,8.3,1.46,1,correct,球M,0.408,1.0,0.0,correct_only,hit,correct,球M,,1.0,,correct_only,hit,0.599,0.0,,
2026_08_16/000,8,石榴,≥2.5°,clear,,6.01,1.65,1,correct,石榴,0.298,1.0,0.0,correct_only,hit,correct,石榴,,0.977,,correct_only,hit,0.298,0.0,,
2026_08_16/000,9,香蕉,≥2.5°,clear,,4.22,1.6,1,correct,香蕉,0.512,1.0,0.0,correct_only,hit,correct,香蕉,,0.905,,correct_only,hit,0.544,0.0,,
2026_08_16/000,10,球L,≥2.5°,clear,,5.53,1.49,1,none,,,,,none,hit,wrong,香蕉,,0.592,,wrong_only,hit,0.189,,,0.0
2026_08_16/000,11,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,0.341,0.99,0.006,correct_only,hit,correct,苹果,,0.813,,correct_only,hit,0.341,0.0,,
2026_08_16/000,12,球R,≥2.5°,clear,,6.01,1.47,1,none,,,,,none,hit,correct,球R,,1.0,,correct_only,hit,0.135,0.0,,
2026_08_16/001,1,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.17,0,none,,,,,none,hit,correct,球L,,0.896,,correct_only,hit,0.005,0.0,,
