rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,v2s15_first,v2s15_obj,v2s15_cap,v2s15_share,v2s15_A,v2s15_any,v2s15_lcs,mass15_first,mass15_obj,mass15_cap,mass15_share,mass15_A,mass15_any,mass15_lcs,v2s15_best_target_cap,mass15_best_target_cap,v2s15_best_wrong_cap,mass15_best_wrong_cap
2026_08_16/000,1,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,1.085,0.943,0.026,mixed,hit,correct,苹果,1.085,0.943,0.026,mixed,hit,1.085,1.085,0.327,0.327
2026_08_16/000,2,球M,≥2.5°,clear,,8.3,1.42,1,correct,球M,0.685,1.0,0.0,correct_only,hit,correct,球M,0.685,1.0,0.0,correct_only,hit,1.165,1.165,,
2026_08_16/000,3,石榴,≥2.5°,clear,,6.01,1.64,1,correct,石榴,0.798,1.0,0.0,correct_only,hit,correct,石榴,0.798,1.0,0.0,correct_only,hit,0.798,0.798,,
2026_08_16/000,4,香蕉,≥2.5°,clear,,4.22,1.52,1,correct,香蕉,0.421,0.989,0.024,correct_only,hit,correct,香蕉,0.421,0.989,0.024,correct_only,hit,0.459,0.459,0.03,
2026_08_16/000,5,球R,≥2.5°,clear,,6.01,2.08,1,correct,球R,0.267,1.0,0.0,correct_only,hit,correct,球R,0.267,1.0,0.0,correct_only,hit,0.486,0.486,,
2026_08_16/000,6,球L,≥2.5°,clear,,5.53,1.46,1,correct,球L,0.66,0.906,0.05,mixed,hit,correct,球L,0.66,0.906,0.05,mixed,hit,0.689,0.689,0.284,0.284
2026_08_16/000,7,球M,≥2.5°,clear,,8.3,1.46,1,correct,球M,0.712,1.0,0.0,correct_only,hit,correct,球M,0.712,1.0,0.0,correct_only,hit,0.917,0.917,,
2026_08_16/000,8,石榴,≥2.5°,clear,,6.01,1.65,1,correct,石榴,0.568,1.0,0.0,correct_only,hit,correct,石榴,0.568,1.0,0.0,correct_only,hit,0.568,0.568,,
2026_08_16/000,9,香蕉,≥2.5°,clear,,4.22,1.6,1,correct,香蕉,0.451,0.97,0.067,correct_only,hit,correct,香蕉,0.451,0.97,0.067,correct_only,hit,0.451,0.451,0.342,
2026_08_16/000,10,球L,≥2.5°,clear,,5.53,1.49,1,correct,球L,0.419,0.55,0.372,correct_only,hit,correct,球L,0.419,0.55,0.372,correct_only,hit,0.419,0.419,,
2026_08_16/000,11,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,0.619,0.818,0.095,correct_only,hit,correct,苹果,0.619,0.818,0.095,correct_only,hit,0.619,0.619,,
2026_08_16/000,12,球R,≥2.5°,clear,,6.01,1.47,1,correct,球R,0.428,1.0,0.0,correct_only,hit,correct,球R,0.428,1.0,0.0,correct_only,hit,0.428,0.428,,
2026_08_16/001,1,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.17,0,correct,球L,0.222,0.766,0.077,correct_only,hit,correct,球L,0.222,0.766,0.077,correct_only,hit,0.222,0.222,,
2026_08_16/001,2,球R,1.0–2.5°,occluded(front-capture),stress,1.56,3.31,0,wrong,球L,0.661,0.433,0.443,mixed,hit,correct,球R,0.996,0.643,0.364,correct_only,hit,0.996,0.996,0.661,0.661
2026_08_16/001,3,苹果,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,4,石榴,1.0–2.5°,occluded(front-capture),stress,1.56,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,5,球M,≥2.5°,occluded(front-capture),stress,3.21,3.61,0,correct,球M,0.459,0.988,0.002,correct_only,hit,correct,球M,0.459,0.988,0.002,correct_only,hit,0.459,0.459,,
2026_08_16/001,6,香蕉,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_16/001,7,苹果,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,8,石榴,1.0–2.5°,occluded(front-capture),stress,1.56,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,9,香蕉,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_16/001,10,球R,1.0–2.5°,occluded(front-capture),stress,1.56,3.33,0,correct,球R,0.794,0.524,0.587,correct_only,hit,correct,球R,0.794,0.524,0.587,correct_only,hit,0.794,0.794,,
2026_08_16/001,11,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.28,0,correct,球L,0.243,0.524,0.247,correct_only,hit,correct,球L,0.243,0.524,0.247,correct_only,hit,0.379,0.243,,0.113
2026_08_16/001,12,球M,≥2.5°,occluded(front-capture),stress,3.21,3.71,0,correct,球M,0.72,0.995,0.001,correct_only,hit,correct,球M,0.72,0.995,0.001,correct_only,hit,1.544,1.544,,
2026_08_16/s1,1,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,1.042,1.0,0.0,correct_only,hit,correct,球R,1.042,1.0,0.0,correct_only,hit,1.167,1.167,,
