rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,vis_first,vis_obj,vis_cap,vis_share,vis_A,vis_any,vis_lcs,noocc_first,noocc_obj,noocc_cap,noocc_share,noocc_A,noocc_any,noocc_lcs,vis_best_target_cap,noocc_best_target_cap,vis_best_wrong_cap,noocc_best_wrong_cap
2026_08_16/000,1,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,0.996,0.999,0.001,mixed,hit,correct,苹果,0.996,0.999,0.001,mixed,hit,0.996,0.996,0.399,0.399
2026_08_16/000,2,球M,≥2.5°,clear,,8.3,1.42,1,correct,球M,0.362,1.0,0.0,correct_only,hit,correct,球M,0.362,1.0,0.0,correct_only,hit,0.873,0.873,,
2026_08_16/000,3,石榴,≥2.5°,clear,,6.01,1.64,1,correct,石榴,0.486,1.0,0.0,correct_only,hit,correct,石榴,0.486,1.0,0.0,correct_only,hit,0.487,0.487,,
2026_08_16/000,4,香蕉,≥2.5°,clear,,4.22,1.52,1,correct,香蕉,0.487,1.0,0.0,correct_only,hit,correct,香蕉,0.487,1.0,0.0,correct_only,hit,0.572,0.572,,
2026_08_16/000,5,球R,≥2.5°,clear,,6.01,2.08,1,none,,,,,none,hit,none,,,,,none,hit,0.186,0.186,,
2026_08_16/000,6,球L,≥2.5°,clear,,5.53,1.46,1,correct,球L,0.621,0.99,0.008,mixed,hit,correct,球L,0.621,0.99,0.008,mixed,hit,0.621,0.621,0.325,0.325
2026_08_16/000,7,球M,≥2.5°,clear,,8.3,1.46,1,correct,球M,0.407,1.0,0.0,correct_only,hit,correct,球M,0.407,1.0,0.0,correct_only,hit,0.579,0.579,,
2026_08_16/000,8,石榴,≥2.5°,clear,,6.01,1.65,1,correct,石榴,0.268,1.0,0.0,correct_only,hit,correct,石榴,0.268,1.0,0.0,correct_only,hit,0.268,0.268,,
2026_08_16/000,9,香蕉,≥2.5°,clear,,4.22,1.6,1,correct,香蕉,0.501,1.0,0.0,correct_only,hit,correct,香蕉,0.501,1.0,0.0,correct_only,hit,0.531,0.531,,
2026_08_16/000,10,球L,≥2.5°,clear,,5.53,1.49,1,none,,,,,none,hit,none,,,,,none,hit,0.197,0.197,,
2026_08_16/000,11,苹果,≥2.5°,clear,,4.22,1.66,1,correct,苹果,0.343,0.994,0.006,correct_only,hit,correct,苹果,0.343,0.994,0.006,correct_only,hit,0.343,0.343,,
2026_08_16/000,12,球R,≥2.5°,clear,,6.01,1.47,1,none,,,,,none,hit,none,,,,,none,hit,0.135,0.135,,
2026_08_16/001,1,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.17,0,none,,,,,none,hit,none,,,,,none,hit,0.185,0.187,,
2026_08_16/001,2,球R,1.0–2.5°,occluded(front-capture),stress,1.56,3.31,0,wrong,球L,1.089,0.834,0.056,mixed,hit,wrong,球L,1.096,0.826,0.056,mixed,hit,1.004,1.004,1.089,1.096
2026_08_16/001,3,苹果,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,4,石榴,1.0–2.5°,occluded(front-capture),stress,1.56,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,5,球M,≥2.5°,occluded(front-capture),stress,3.21,3.61,0,none,,,,,none,hit,none,,,,,none,hit,0.008,0.008,,
2026_08_16/001,6,香蕉,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,7,苹果,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,8,石榴,1.0–2.5°,occluded(front-capture),stress,1.56,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,9,香蕉,1.0–2.5°,occluded(front-capture),stress,1.38,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_16/001,10,球R,1.0–2.5°,occluded(front-capture),stress,1.56,3.33,0,correct,球R,0.575,0.779,0.207,correct_only,hit,correct,球R,0.575,0.759,0.233,correct_only,hit,0.575,0.575,,
2026_08_16/001,11,球L,1.0–2.5°,occluded(front-capture),stress,2.1,3.28,0,correct,球L,0.486,0.819,0.072,correct_only,hit,correct,球L,0.491,0.819,0.071,correct_only,hit,0.486,0.491,,
2026_08_16/001,12,球M,≥2.5°,occluded(front-capture),stress,3.21,4.14,0,correct,球M,0.304,1.0,0.0,correct_only,miss,correct,球M,0.304,1.0,0.0,correct_only,miss,0.304,0.304,,
2026_08_16/s1,1,球R,≥2.5°,clear,,5.41,1.61,1,correct,球R,0.91,1.0,0.0,correct_only,hit,correct,球R,0.91,1.0,0.0,correct_only,hit,1.056,1.056,,
2026_08_16/s1,2,球L,≥2.5°,clear,,5.02,1.53,1,correct,球L,1.012,1.0,0.0,correct_only,hit,correct,球L,1.012,1.0,0.0,correct_only,hit,1.012,1.012,,
2026_08_16/s1,3,球M,≥2.5°,clear,,7.69,1.49,1,correct,球M,0.998,1.0,0.0,correct_only,hit,correct,球M,0.998,1.0,0.0,correct_only,hit,0.998,0.998,,
2026_08_16/s1,4,球L,≥2.5°,clear,,5.02,1.54,1,correct,球L,0.746,1.0,0.0,correct_only,hit,correct,球L,0.746,1.0,0.0,correct_only,hit,0.988,0.988,0.132,0.132
