rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,cluster010,2.64,3.16,0.52,0.9,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,6.97,7.24,0.27,1.559,,-1,0.0,0.0,,,,1.0,object#245,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,8.06,8.51,0.45,1.409,球L,320,0.908,0.008,0.01,0.1,0.101,0.991,object#10,,0,0,,,,2,"[{""name"": ""球L"", ""share"": 0.908, ""q"": 0.008, ""capture"": 0.01, ""miss_deg"": 3.04, ""labels"": [320]}, {""name"": ""球M"", ""share"": 0.092, ""q"": 0.001, ""capture"": 0.001, ""miss_deg"": 3.7, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,cluster010,15.38,15.82,0.44,1.022,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,31.09,31.51,0.42,1.169,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,35.34,35.62,0.27,1.359,,-1,0.0,0.0,,,,1.0,object#34,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,cluster010,35.68,36.01,0.32,1.335,香蕉,323,0.891,0.154,0.154,0.143,0.122,0.827,object#316,,0,0,,,,2,"[{""name"": ""香蕉"", ""share"": 0.891, ""q"": 0.154, ""capture"": 0.154, ""miss_deg"": 1.93, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.109, ""q"": 0.019, ""capture"": 0.022, ""miss_deg"": 2.77, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,cluster010,39.06,39.33,0.27,1.667,石榴,78,1.0,0.55,0.861,0.0,0.0,0.45,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.55, ""capture"": 0.861, ""miss_deg"": 0.55, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,cluster010,39.41,44.47,5.07,1.655,苹果,300,0.996,0.721,1.026,0.003,0.004,0.277,object#316,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.996, ""q"": 0.721, ""capture"": 1.026, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.004, ""q"": 0.003, ""capture"": 0.003, ""miss_deg"": 3.45, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,44.52,47.29,2.77,1.65,苹果,300,0.839,0.45,0.641,0.134,0.192,0.464,object#316,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.839, ""q"": 0.45, ""capture"": 0.641, ""miss_deg"": 0.94, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.161, ""q"": 0.086, ""capture"": 0.086, ""miss_deg"": 2.21, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,cluster010,47.58,50.73,3.15,1.414,球M,321,1.0,0.7,0.928,0.0,0.0,0.3,object#317,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.7, ""capture"": 0.928, ""miss_deg"": 0.39, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,cluster010,50.89,54.3,3.41,1.395,球M,321,1.0,0.639,0.84,0.0,0.0,0.361,object#10,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.639, ""capture"": 0.84, ""miss_deg"": 0.59, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,cluster010,54.5,54.95,0.45,1.59,石榴,78,1.0,0.209,0.304,0.0,0.0,0.791,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.209, ""capture"": 0.304, ""miss_deg"": 1.54, ""labels"": [78]}]"
