rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,mass15,2.64,3.09,0.46,0.901,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,31.09,31.45,0.36,1.171,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,mass15,35.34,35.62,0.27,1.359,石榴,78,1.0,0.008,0.017,0.0,0.0,0.992,object#34,,0,0,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.008, ""capture"": 0.017, ""miss_deg"": 4.28, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,mass15,35.68,36.01,0.32,1.335,香蕉,323,0.745,0.217,0.219,0.621,0.342,0.709,object#316,,1,1,,,,2,"[{""name"": ""香蕉"", ""share"": 0.745, ""q"": 0.217, ""capture"": 0.219, ""miss_deg"": 2.62, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.255, ""q"": 0.074, ""capture"": 0.136, ""miss_deg"": 3.0, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,mass15,39.06,39.33,0.27,1.667,石榴,78,0.999,0.371,0.998,0.001,0.001,0.628,object#17,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.999, ""q"": 0.371, ""capture"": 0.998, ""miss_deg"": 0.09, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.001, ""q"": 0.0, ""capture"": 0.001, ""miss_deg"": 5.48, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,mass15,39.67,40.14,0.47,1.663,苹果,300,0.89,0.432,1.084,0.054,0.124,0.514,object#316,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.89, ""q"": 0.432, ""capture"": 1.084, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.11, ""q"": 0.054, ""capture"": 0.058, ""miss_deg"": 3.58, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,mass15,40.26,41.14,0.88,1.65,苹果,300,0.888,0.433,1.087,0.054,0.126,0.512,object#316,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.888, ""q"": 0.433, ""capture"": 1.087, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.112, ""q"": 0.054, ""capture"": 0.059, ""miss_deg"": 3.57, ""labels"": [323]}]"
