rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,noocc15,2.64,3.09,0.46,0.901,,-1,0.0,0.0,,,,1.0,object#20,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,31.09,31.45,0.36,1.171,,-1,0.0,0.0,,,,1.0,object#187,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,389.5337,0,0,,,,0,[]
2026_08_16/000,e1,v7,,noocc15,35.34,35.62,0.27,1.359,石榴,78,1.0,0.0095,0.02,0.0,0.0,0.991,object#34,389.5337,0,0,,,,1,"[{""name"": ""石榴"", ""m"": 3.69538, ""q"": 0.0095, ""c"": 0.4843, ""capture"": 0.02, ""share"": 1.0, ""miss_deg"": 4.21, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,noocc15,35.68,36.01,0.32,1.335,香蕉,323,0.734,0.2096,0.211,0.659,0.362,0.714,object#316,389.5337,1,1,,,,2,"[{""name"": ""香蕉"", ""m"": 81.65925, ""q"": 0.2096, ""c"": 0.9934, ""capture"": 0.211, ""share"": 0.734, ""miss_deg"": 2.65, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 29.57203, ""q"": 0.0759, ""c"": 0.5445, ""capture"": 0.139, ""share"": 0.266, ""miss_deg"": 2.98, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,noocc15,39.06,39.33,0.27,1.667,石榴,78,0.999,0.3736,1.004,0.001,0.001,0.626,object#17,389.5337,1,1,,,,2,"[{""name"": ""石榴"", ""m"": 145.54824, ""q"": 0.3736, ""c"": 0.3721, ""capture"": 1.004, ""share"": 0.999, ""miss_deg"": 0.0, ""labels"": [78]}, {""name"": ""球R"", ""m"": 0.09485, ""q"": 0.0002, ""c"": 0.2705, ""capture"": 0.001, ""share"": 0.001, ""miss_deg"": 5.62, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,noocc15,39.67,40.14,0.47,1.663,苹果,300,0.898,0.4349,1.091,0.049,0.114,0.516,object#316,389.5337,1,1,,,,2,"[{""name"": ""苹果"", ""m"": 169.39887, ""q"": 0.4349, ""c"": 0.3986, ""capture"": 1.091, ""share"": 0.898, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""m"": 19.23421, ""q"": 0.0494, ""c"": 0.9189, ""capture"": 0.054, ""share"": 0.102, ""miss_deg"": 3.63, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc15,40.26,41.14,0.88,1.65,苹果,300,0.897,0.4367,1.096,0.049,0.115,0.513,object#316,389.5337,1,1,,,,2,"[{""name"": ""苹果"", ""m"": 170.11042, ""q"": 0.4367, ""c"": 0.3986, ""capture"": 1.096, ""share"": 0.897, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""m"": 19.52319, ""q"": 0.0501, ""c"": 0.9255, ""capture"": 0.054, ""share"": 0.103, ""miss_deg"": 3.62, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc15,41.26,44.47,3.22,1.662,苹果,300,0.947,0.4413,1.107,0.024,0.056,0.534,object#316,389.5337,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""m"": 171.89379, ""q"": 0.4413, ""c"": 0.3986, ""capture"": 1.107, ""share"": 0.947, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""m"": 9.62227, ""q"": 0.0247, ""c"": 0.9255, ""capture"": 0.027, ""share"": 0.053, ""miss_deg"": 4.04, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc15,44.58,45.97,1.39,1.657,苹果,300,0.804,0.3921,0.984,0.105,0.244,0.512,object#316,389.5337,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""m"": 152.74967, ""q"": 0.3921, ""c"": 0.3986, ""capture"": 0.984, ""share"": 0.804, ""miss_deg"": 0.27, ""labels"": [300]}, {""name"": ""香蕉"", ""m"": 37.26899, ""q"": 0.0957, ""c"": 0.9255, ""capture"": 0.103, ""share"": 0.196, ""miss_deg"": 3.2, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,noocc15,46.03,46.46,0.44,1.615,香蕉,323,0.814,0.3067,0.325,0.502,0.229,0.623,object#316,389.5337,1,1,1,苹果,0,2,"[{""name"": ""香蕉"", ""m"": 119.48037, ""q"": 0.3067, ""c"": 0.9451, ""capture"": 0.325, ""share"": 0.814, ""miss_deg"": 2.25, ""labels"": [323]}, {""name"": ""苹果"", ""m"": 27.28535, ""q"": 0.07, ""c"": 0.4305, ""capture"": 0.163, ""share"": 0.186, ""miss_deg"": 2.86, ""labels"": [300]}]"
