rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,s02,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,35.34,35.62,0.27,1.359,,-1,0.0,0.0,,,,1.0,object#34,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,35.68,36.01,0.32,1.335,,-1,0.0,0.0,,,,1.0,object#316,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,39.06,39.33,0.27,1.667,石榴,78,1.0,0.986,0.986,0.0,0.0,0.014,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.986, ""capture"": 0.986, ""miss_deg"": 0.03, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,s02,39.67,40.14,0.47,1.663,苹果,300,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s02,40.26,41.14,0.88,1.65,苹果,300,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s02,41.26,44.47,3.22,1.662,苹果,300,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,1,苹果,1,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s02,44.58,45.97,1.39,1.657,苹果,300,1.0,0.999,0.999,0.0,0.0,0.001,object#316,,1,1,1,苹果,1,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.999, ""capture"": 0.999, ""miss_deg"": 0.01, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s02,46.03,46.46,0.44,1.615,香蕉,323,1.0,0.673,0.673,0.0,0.0,0.327,object#10,,1,1,1,苹果,0,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.673, ""capture"": 0.673, ""miss_deg"": 0.18, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,s02,46.52,47.29,0.77,1.649,苹果,300,1.0,0.878,0.878,0.0,0.0,0.122,object#316,,1,1,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.878, ""capture"": 0.878, ""miss_deg"": 0.1, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,s02,47.81,50.73,2.92,1.413,球M,321,1.0,0.999,0.999,0.0,0.0,0.001,object#317,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.999, ""capture"": 0.999, ""miss_deg"": 0.01, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,50.89,51.23,0.34,1.456,,-1,0.0,0.0,,,,1.0,object#10,,0,0,2,球M,,0,[]
2026_08_16/000,e1,v7,,s02,51.28,54.3,3.02,1.385,球M,321,1.0,1.0,1.0,0.0,0.0,0.0,,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 1.0, ""capture"": 1.0, ""miss_deg"": 0.01, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,s02,54.5,54.95,0.45,1.59,,-1,0.0,0.0,,,,1.0,object#17,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,s02,55.08,57.54,2.46,1.63,石榴,78,1.0,0.163,0.163,0.0,0.0,0.837,object#17,,0,0,3,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.163, ""capture"": 0.163, ""miss_deg"": 0.38, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,s02,57.64,60.9,3.26,1.649,石榴,78,1.0,0.145,0.145,0.0,0.0,0.855,object#17,,0,0,3,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.145, ""capture"": 0.145, ""miss_deg"": 0.39, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,s02,61.48,64.42,2.94,1.51,香蕉,323,1.0,0.864,0.864,0.0,0.0,0.136,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.864, ""capture"": 0.864, ""miss_deg"": 0.11, ""labels"": [323]}]"
