rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,sphere10,2.64,3.09,0.46,0.901,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,5.17,6.29,1.11,1.106,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,23.21,24.77,1.55,1.052,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,31.09,31.45,0.36,1.171,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,sphere10,35.34,35.62,0.27,1.359,石榴,78,0.922,0.094,,,0.085,0.898,object#37,,0,0,,,,2,"[{""name"": ""石榴"", ""share"": 0.922, ""q"": 0.094, ""capture"": null, ""miss_deg"": null, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.078, ""q"": 0.008, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,35.68,36.01,0.32,1.335,苹果,300,0.576,0.403,,,0.736,0.301,object#316,,0,0,,,,2,"[{""name"": ""苹果"", ""share"": 0.576, ""q"": 0.403, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.424, ""q"": 0.296, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,39.06,39.33,0.27,1.667,石榴,78,0.954,0.415,,,0.048,0.565,object#17,,0,0,,,,2,"[{""name"": ""石榴"", ""share"": 0.954, ""q"": 0.415, ""capture"": null, ""miss_deg"": null, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.046, ""q"": 0.02, ""capture"": null, ""miss_deg"": null, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,sphere10,39.67,40.14,0.47,1.663,苹果,300,0.86,0.718,,,0.163,0.166,object#17,,0,0,,,,2,"[{""name"": ""苹果"", ""share"": 0.86, ""q"": 0.718, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.14, ""q"": 0.117, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,40.26,41.14,0.88,1.65,苹果,300,0.869,0.726,,,0.151,0.164,object#17,,0,0,,,,2,"[{""name"": ""苹果"", ""share"": 0.869, ""q"": 0.726, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.131, ""q"": 0.11, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,41.26,44.47,3.22,1.662,苹果,300,0.892,0.753,,,0.121,0.156,object#10,,0,0,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.892, ""q"": 0.753, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.108, ""q"": 0.092, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,44.58,45.97,1.39,1.657,苹果,300,0.806,0.641,,,0.241,0.205,object#17,,0,0,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.806, ""q"": 0.641, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.194, ""q"": 0.154, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,46.03,46.46,0.44,1.615,香蕉,323,0.596,0.351,,,0.678,0.41,object#17,,0,0,1,苹果,0,2,"[{""name"": ""香蕉"", ""share"": 0.596, ""q"": 0.351, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.404, ""q"": 0.238, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,sphere10,46.52,47.29,0.77,1.649,苹果,300,0.798,0.615,,,0.253,0.229,object#17,,0,0,,,,2,"[{""name"": ""苹果"", ""share"": 0.798, ""q"": 0.615, ""capture"": null, ""miss_deg"": null, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.202, ""q"": 0.156, ""capture"": null, ""miss_deg"": null, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,sphere10,47.81,50.73,2.92,1.413,球M,321,1.0,0.69,,,0.0,0.31,object#17,,0,0,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.69, ""capture"": null, ""miss_deg"": null, ""labels"": [321]}]"
