rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,table10,2.64,3.09,0.46,0.901,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,15.38,15.7,0.32,1.034,,-1,0.0,0.0,,,,1.0,object#35,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,15.98,16.38,0.4,0.667,,-1,0.0,0.0,,,,1.0,object#94,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,18.3,18.6,0.3,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,24.82,25.15,0.33,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,25.48,26.56,1.07,0.962,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,27.5,27.81,0.31,1.01,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,29.64,29.98,0.34,0.748,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,31.09,31.45,0.36,1.171,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,32.16,32.71,0.55,1.208,,-1,0.0,0.0,,,,1.0,object#20,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,35.34,35.62,0.27,1.359,,-1,0.0,0.0,,,,1.0,object#34,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,table10,35.68,36.01,0.32,1.335,香蕉,323,0.891,0.154,0.154,0.143,0.122,0.827,object#316,,0,0,,,,2,"[{""name"": ""香蕉"", ""share"": 0.891, ""q"": 0.154, ""capture"": 0.154, ""miss_deg"": 1.93, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.109, ""q"": 0.019, ""capture"": 0.022, ""miss_deg"": 2.77, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,table10,39.06,39.33,0.27,1.667,石榴,78,1.0,0.55,0.861,0.0,0.0,0.45,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.55, ""capture"": 0.861, ""miss_deg"": 0.55, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,39.67,40.14,0.47,1.663,苹果,300,0.99,0.694,0.988,0.007,0.01,0.299,object#316,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.99, ""q"": 0.694, ""capture"": 0.988, ""miss_deg"": 0.16, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.01, ""q"": 0.007, ""capture"": 0.007, ""miss_deg"": 3.17, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,40.26,41.14,0.88,1.65,苹果,300,0.991,0.69,0.982,0.006,0.009,0.304,object#316,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.991, ""q"": 0.69, ""capture"": 0.982, ""miss_deg"": 0.19, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.009, ""q"": 0.006, ""capture"": 0.006, ""miss_deg"": 3.2, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,41.26,44.47,3.22,1.662,苹果,300,0.999,0.706,1.005,0.001,0.001,0.293,object#316,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.999, ""q"": 0.706, ""capture"": 1.005, ""miss_deg"": 0.0, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.001, ""q"": 0.001, ""capture"": 0.001, ""miss_deg"": 3.85, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,44.58,45.97,1.39,1.657,苹果,300,0.94,0.584,0.831,0.045,0.064,0.379,object#316,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.94, ""q"": 0.584, ""capture"": 0.831, ""miss_deg"": 0.61, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.06, ""q"": 0.037, ""capture"": 0.037, ""miss_deg"": 2.56, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,46.03,46.46,0.44,1.615,香蕉,323,0.961,0.404,0.404,0.057,0.041,0.579,object#10,,1,1,1,苹果,0,2,"[{""name"": ""香蕉"", ""share"": 0.961, ""q"": 0.404, ""capture"": 0.404, ""miss_deg"": 1.35, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.039, ""q"": 0.017, ""capture"": 0.023, ""miss_deg"": 2.75, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,table10,46.52,47.29,0.77,1.649,苹果,300,0.915,0.515,0.733,0.065,0.093,0.437,object#316,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.915, ""q"": 0.515, ""capture"": 0.733, ""miss_deg"": 0.79, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.085, ""q"": 0.048, ""capture"": 0.048, ""miss_deg"": 2.47, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,47.81,50.73,2.92,1.413,球M,321,1.0,0.697,0.924,0.0,0.0,0.303,object#317,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.697, ""capture"": 0.924, ""miss_deg"": 0.4, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,50.89,51.23,0.34,1.456,球M,321,1.0,0.269,0.367,0.0,0.0,0.731,object#10,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.269, ""capture"": 0.367, ""miss_deg"": 1.42, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,51.28,54.3,3.02,1.385,球M,321,1.0,0.685,0.898,0.0,0.0,0.315,object#10,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.685, ""capture"": 0.898, ""miss_deg"": 0.46, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,54.5,54.95,0.45,1.59,石榴,78,1.0,0.209,0.304,0.0,0.0,0.791,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.209, ""capture"": 0.304, ""miss_deg"": 1.54, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,55.08,57.54,2.46,1.63,石榴,78,1.0,0.343,0.513,0.0,0.0,0.657,object#17,,1,1,3,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.343, ""capture"": 0.513, ""miss_deg"": 1.16, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,57.64,60.9,3.26,1.649,石榴,78,1.0,0.333,0.511,0.0,0.0,0.667,object#17,,1,1,3,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.333, ""capture"": 0.511, ""miss_deg"": 1.16, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,61.48,64.42,2.94,1.51,香蕉,323,1.0,0.529,0.529,0.0,0.0,0.471,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.529, ""capture"": 0.529, ""miss_deg"": 1.13, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,64.47,65.15,0.68,1.535,香蕉,323,1.0,0.557,0.557,0.0,0.0,0.443,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.557, ""capture"": 0.557, ""miss_deg"": 1.08, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,65.88,66.82,0.94,1.491,香蕉,323,1.0,0.602,0.602,0.0,0.0,0.398,object#316,,1,1,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.602, ""capture"": 0.602, ""miss_deg"": 1.01, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,66.87,67.15,0.27,1.54,香蕉,323,1.0,0.002,0.002,0.0,0.0,0.998,object#17,,0,0,4,香蕉,1,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.002, ""capture"": 0.002, ""miss_deg"": 3.55, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,67.2,68.03,0.83,1.577,香蕉,323,1.0,0.368,0.368,0.0,0.0,0.632,object#316,,1,1,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.368, ""capture"": 0.368, ""miss_deg"": 1.41, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,68.59,69.54,0.95,1.423,球L,320,0.997,0.534,0.675,0.003,0.003,0.465,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.997, ""q"": 0.534, ""capture"": 0.675, ""miss_deg"": 0.89, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.003, ""q"": 0.002, ""capture"": 0.002, ""miss_deg"": 3.58, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,70.45,70.95,0.5,2.689,,-1,0.0,0.0,,,,1.0,floor,,0,0,5,球R,,0,[]
2026_08_16/000,e1,v7,,table10,71.0,73.51,2.51,1.48,球R,322,1.0,0.11,0.183,0.0,0.0,0.89,object#318,,0,0,5,球R,1,1,"[{""name"": ""球R"", ""share"": 1.0, ""q"": 0.11, ""capture"": 0.183, ""miss_deg"": 1.84, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,table10,74.33,74.83,0.5,1.626,石榴,78,1.0,0.032,0.049,0.0,0.0,0.968,object#201,,0,0,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.032, ""capture"": 0.049, ""miss_deg"": 2.46, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,75.26,77.05,1.79,1.418,球L,320,0.989,0.473,0.594,0.008,0.011,0.521,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.989, ""q"": 0.473, ""capture"": 0.594, ""miss_deg"": 1.02, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.011, ""q"": 0.005, ""capture"": 0.005, ""miss_deg"": 3.24, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,77.16,78.55,1.4,1.418,球L,320,0.985,0.424,0.533,0.011,0.015,0.569,object#316,,1,1,6,球L,1,2,"[{""name"": ""球L"", ""share"": 0.985, ""q"": 0.424, ""capture"": 0.533, ""miss_deg"": 1.12, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.015, ""q"": 0.006, ""capture"": 0.006, ""miss_deg"": 3.18, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,78.84,79.52,0.69,1.415,球L,320,0.962,0.447,0.562,0.032,0.04,0.535,object#316,,1,1,6,球L,1,2,"[{""name"": ""球L"", ""share"": 0.962, ""q"": 0.447, ""capture"": 0.562, ""miss_deg"": 1.07, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.038, ""q"": 0.018, ""capture"": 0.018, ""miss_deg"": 2.84, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,79.58,79.85,0.27,1.492,香蕉,323,0.95,0.241,0.241,0.071,0.053,0.746,object#316,,1,1,6,球L,0,2,"[{""name"": ""香蕉"", ""share"": 0.95, ""q"": 0.241, ""capture"": 0.241, ""miss_deg"": 1.69, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.05, ""q"": 0.013, ""capture"": 0.017, ""miss_deg"": 2.86, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,table10,79.96,80.67,0.71,1.492,香蕉,323,0.957,0.346,0.346,0.061,0.045,0.639,object#316,,1,1,6,球L,0,2,"[{""name"": ""香蕉"", ""share"": 0.957, ""q"": 0.346, ""capture"": 0.346, ""miss_deg"": 1.46, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.043, ""q"": 0.016, ""capture"": 0.021, ""miss_deg"": 2.78, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,table10,80.73,81.25,0.52,1.436,球L,320,0.919,0.391,0.502,0.07,0.088,0.575,object#316,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.919, ""q"": 0.391, ""capture"": 0.502, ""miss_deg"": 1.17, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.081, ""q"": 0.035, ""capture"": 0.035, ""miss_deg"": 2.59, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,81.3,81.8,0.5,1.483,香蕉,323,1.0,0.578,0.578,0.0,0.0,0.422,object#316,,1,1,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.578, ""capture"": 0.578, ""miss_deg"": 1.05, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,82.49,82.87,0.38,1.386,球M,321,1.0,0.822,1.077,0.0,0.0,0.178,object#10,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.822, ""capture"": 1.077, ""miss_deg"": 0.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,82.92,83.52,0.6,1.458,球M,321,1.0,0.297,0.408,0.0,0.0,0.703,object#10,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.297, ""capture"": 0.408, ""miss_deg"": 1.34, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,83.58,84.54,0.96,1.431,球M,321,1.0,0.448,0.599,0.0,0.0,0.552,object#10,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.448, ""capture"": 0.599, ""miss_deg"": 1.01, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,84.6,85.03,0.44,1.481,球M,321,1.0,0.386,0.549,0.0,0.0,0.614,object#10,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.386, ""capture"": 0.549, ""miss_deg"": 1.09, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,85.09,85.81,0.72,1.422,球M,321,1.0,0.439,0.587,0.0,0.0,0.561,object#17,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.439, ""capture"": 0.587, ""miss_deg"": 1.03, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,85.86,87.23,1.37,1.488,球M,321,1.0,0.222,0.316,0.0,0.0,0.778,object#10,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.222, ""capture"": 0.316, ""miss_deg"": 1.52, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,87.29,87.79,0.5,1.42,球M,321,1.0,0.445,0.595,0.0,0.0,0.555,object#17,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.445, ""capture"": 0.595, ""miss_deg"": 1.02, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,87.84,88.28,0.44,1.472,球M,321,1.0,0.336,0.466,0.0,0.0,0.664,object#17,,1,1,7,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""q"": 0.336, ""capture"": 0.466, ""miss_deg"": 1.24, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,table10,89.27,91.31,2.04,1.664,石榴,78,1.0,0.324,0.504,0.0,0.0,0.676,object#17,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.324, ""capture"": 0.504, ""miss_deg"": 1.17, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,91.43,94.96,3.53,1.652,石榴,78,1.0,0.194,0.298,0.0,0.0,0.806,object#17,,1,1,8,石榴,1,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.194, ""capture"": 0.298, ""miss_deg"": 1.56, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,table10,95.48,96.04,0.56,1.494,香蕉,323,1.0,0.574,0.574,0.0,0.0,0.426,object#316,,1,1,,,,2,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.574, ""capture"": 0.574, ""miss_deg"": 1.05, ""labels"": [323]}, {""name"": ""球L"", ""share"": 0.0, ""q"": 0.0, ""capture"": 0.0, ""miss_deg"": 4.34, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,table10,96.09,96.77,0.68,1.574,香蕉,323,1.0,0.495,0.495,0.0,0.0,0.505,object#316,,1,1,,,,1,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.495, ""capture"": 0.495, ""miss_deg"": 1.19, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,table10,96.92,98.03,1.1,1.572,香蕉,323,1.0,0.512,0.512,0.0,0.0,0.488,object#316,,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""share"": 1.0, ""q"": 0.512, ""capture"": 0.512, ""miss_deg"": 1.16, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.0, ""q"": 0.0, ""capture"": 0.0, ""miss_deg"": 4.02, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,table10,98.42,99.43,1.01,1.597,香蕉,323,0.996,0.522,0.522,0.006,0.004,0.476,object#316,,1,1,9,香蕉,1,2,"[{""name"": ""香蕉"", ""share"": 0.996, ""q"": 0.522, ""capture"": 0.522, ""miss_deg"": 1.14, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.004, ""q"": 0.002, ""capture"": 0.003, ""miss_deg"": 3.43, ""labels"": [300]}]"
