rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,tag15,3.98,4.24,0.26,1.75,,-1,0.0,0.0,,,,1.0,floor,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,15.38,15.7,0.32,1.019,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,18.13,18.6,0.47,0.462,,-1,0.0,0.0,,,,1.0,object#67,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,24.82,25.15,0.33,0.959,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,25.54,26.29,0.75,0.959,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,29.64,29.98,0.34,0.762,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,32.16,32.71,0.55,1.209,,-1,0.0,0.0,,,,1.0,object#187,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,35.34,35.62,0.27,1.339,,-1,0.0,0.0,,,,1.0,object#34,,0,0,,,,0,[]
2026_08_16/000,e1,v7,,tag15,35.68,36.01,0.32,1.337,苹果,300,1.0,0.028,0.051,0.0,0.0,0.972,object#316,,0,0,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.028, ""capture"": 0.051, ""miss_deg"": 3.66, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,tag15,39.06,39.33,0.27,1.671,石榴,78,1.0,0.112,0.301,0.0,0.0,0.888,object#34,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""q"": 0.112, ""capture"": 0.301, ""miss_deg"": 2.32, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,tag15,39.67,40.14,0.47,1.659,苹果,300,1.0,0.05,0.124,0.0,0.0,0.95,object#316,,0,0,,,,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.05, ""capture"": 0.124, ""miss_deg"": 3.06, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,tag15,40.26,41.14,0.88,1.644,苹果,300,0.988,0.101,0.252,0.004,0.012,0.898,object#316,,1,1,,,,2,"[{""name"": ""苹果"", ""share"": 0.988, ""q"": 0.101, ""capture"": 0.252, ""miss_deg"": 2.49, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.012, ""q"": 0.001, ""capture"": 0.001, ""miss_deg"": 5.45, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,tag15,41.26,44.47,3.22,1.657,苹果,300,1.0,0.034,0.086,0.0,0.0,0.966,object#316,,0,0,1,苹果,1,1,"[{""name"": ""苹果"", ""share"": 1.0, ""q"": 0.034, ""capture"": 0.086, ""miss_deg"": 3.32, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,tag15,44.58,45.97,1.39,1.653,苹果,300,0.98,0.062,0.157,0.006,0.02,0.936,object#316,,0,0,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.98, ""q"": 0.062, ""capture"": 0.157, ""miss_deg"": 2.89, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.02, ""q"": 0.001, ""capture"": 0.001, ""miss_deg"": 5.44, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,tag15,46.03,46.46,0.44,1.605,香蕉,323,0.681,0.203,0.215,0.944,0.43,0.702,object#316,,1,1,1,苹果,0,3,"[{""name"": ""香蕉"", ""share"": 0.681, ""q"": 0.203, ""capture"": 0.215, ""miss_deg"": 2.63, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.293, ""q"": 0.087, ""capture"": 0.203, ""miss_deg"": 2.68, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.026, ""q"": 0.008, ""capture"": 0.02, ""miss_deg"": 4.2, ""labels"": [320]}]"
