rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,v1_cluster0,8.06,8.51,0.45,1.409,球M,321,0.476,,,,0.855,0.726,,,1,0,,,,3,"[{""name"": ""球M"", ""share"": 0.476, ""labels"": [321]}, {""name"": ""球L"", ""share"": 0.407, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.117, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_cluster0,35.34,35.62,0.27,1.359,石榴,78,1.0,,,,0.0,0.852,,,1,1,,,,1,"[{""name"": ""石榴"", ""share"": 1.0, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,v1_cluster0,35.68,36.01,0.32,1.335,香蕉,323,0.632,,,,0.582,0.125,,,1,1,,,,2,"[{""name"": ""香蕉"", ""share"": 0.632, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.368, ""labels"": [300]}]"
2026_08_16/000,e1,v7,,v1_cluster0,39.06,39.33,0.27,1.667,石榴,78,0.991,,,,0.009,0.442,,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.991, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.009, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_cluster0,39.41,44.47,5.07,1.655,苹果,300,0.886,,,,0.129,0.263,,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.886, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.114, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_cluster0,44.52,47.29,2.77,1.65,苹果,300,0.704,,,,0.42,0.186,,,1,1,1,苹果,1,2,"[{""name"": ""苹果"", ""share"": 0.704, ""labels"": [300]}, {""name"": ""香蕉"", ""share"": 0.296, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_cluster0,47.58,50.73,3.15,1.414,球M,321,1.0,,,,0.0,0.262,,,1,1,,,,1,"[{""name"": ""球M"", ""share"": 1.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,v1_cluster0,50.89,54.3,3.41,1.395,球M,321,1.0,,,,0.0,0.302,,,1,1,2,球M,1,1,"[{""name"": ""球M"", ""share"": 1.0, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,v1_cluster0,54.5,54.95,0.45,1.59,石榴,78,0.923,,,,0.083,0.517,,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.923, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.077, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_cluster0,55.0,57.54,2.54,1.63,石榴,78,0.991,,,,0.009,0.538,,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.991, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.009, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_cluster0,57.59,60.9,3.32,1.646,石榴,78,0.98,,,,0.02,0.529,,,1,1,3,石榴,1,2,"[{""name"": ""石榴"", ""share"": 0.98, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.02, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_cluster0,61.15,65.15,4.0,1.515,香蕉,323,0.928,,,,0.047,0.103,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.928, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.044, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.028, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,v1_cluster0,65.2,65.65,0.45,1.607,香蕉,323,0.978,,,,0.02,0.602,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.978, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.02, ""labels"": [300]}, {""name"": ""球M"", ""share"": 0.001, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,v1_cluster0,65.88,66.82,0.94,1.491,香蕉,323,0.913,,,,0.055,0.083,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.913, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.05, ""labels"": [300]}, {""name"": ""球L"", ""share"": 0.037, ""labels"": [320]}]"
2026_08_16/000,e1,v7,,v1_cluster0,66.87,68.03,1.16,1.566,香蕉,323,0.966,,,,0.033,0.379,,,1,1,4,香蕉,1,3,"[{""name"": ""香蕉"", ""share"": 0.966, ""labels"": [323]}, {""name"": ""苹果"", ""share"": 0.032, ""labels"": [300]}, {""name"": ""球M"", ""share"": 0.002, ""labels"": [321]}]"
2026_08_16/000,e1,v7,,v1_cluster0,68.59,69.54,0.95,1.423,球L,320,0.778,,,,0.285,0.147,,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.778, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.222, ""labels"": [323]}]"
2026_08_16/000,e1,v7,,v1_cluster0,70.45,70.95,0.5,2.689,floor,0,0.684,,,,0.462,0.523,,,0,0,5,球R,0,2,"[{""name"": ""floor"", ""share"": 0.684, ""labels"": [0]}, {""name"": ""球R"", ""share"": 0.316, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_cluster0,71.0,73.51,2.51,1.48,球R,322,0.999,,,,0.001,0.663,,,1,1,5,球R,1,2,"[{""name"": ""球R"", ""share"": 0.999, ""labels"": [322]}, {""name"": ""石榴"", ""share"": 0.001, ""labels"": [78]}]"
2026_08_16/000,e1,v7,,v1_cluster0,74.33,74.83,0.5,1.626,石榴,78,0.813,,,,0.23,0.761,,,1,1,,,,2,"[{""name"": ""石榴"", ""share"": 0.813, ""labels"": [78]}, {""name"": ""球R"", ""share"": 0.187, ""labels"": [322]}]"
2026_08_16/000,e1,v7,,v1_cluster0,75.26,77.05,1.79,1.418,球L,320,0.765,,,,0.307,0.148,,,1,1,,,,2,"[{""name"": ""球L"", ""share"": 0.765, ""labels"": [320]}, {""name"": ""香蕉"", ""share"": 0.235, ""labels"": [323]}]"
