rec,card,era,flags,cfg,t_start_rel,t_end_rel,dur_s,dist_m,object,object_label,share,q,capture,A_cap,A_share,p_none,surface,W,acc_live,acc_e2,window_k,target,correct,n_cands,candidates
2026_08_16/000,e1,v7,,v1_votescope_all,2.64,3.09,0.46,0.901,object#20,20,0.816,,,,0.225,0.993,,,1,1,,,,2,"[{""name"": ""object#20"", ""share"": 0.816, ""labels"": [20]}, {""name"": ""object#187"", ""share"": 0.184, ""labels"": [187]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,5.17,6.29,1.11,1.106,object#187,187,1.0,,,,0.0,1.0,,,1,1,,,,1,"[{""name"": ""object#187"", ""share"": 1.0, ""labels"": [187]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,15.38,15.7,0.32,1.034,object#35,35,0.924,,,,0.037,0.008,,,1,1,,,,3,"[{""name"": ""object#35"", ""share"": 0.924, ""labels"": [35]}, {""name"": ""object#272"", ""share"": 0.034, ""labels"": [272]}, {""name"": ""object#253"", ""share"": 0.026, ""labels"": [253]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,15.98,16.38,0.4,0.667,object#94,94,0.966,,,,0.033,0.333,,,1,1,,,,3,"[{""name"": ""object#94"", ""share"": 0.966, ""labels"": [94]}, {""name"": ""object#35"", ""share"": 0.032, ""labels"": [35]}, {""name"": ""object#166"", ""share"": 0.001, ""labels"": [166]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,18.3,18.6,0.3,0.462,object#67,67,0.999,,,,0.001,0.004,,,1,1,,,,2,"[{""name"": ""object#67"", ""share"": 0.999, ""labels"": [67]}, {""name"": ""object#23"", ""share"": 0.001, ""labels"": [23]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,24.82,25.15,0.33,0.962,object#20,20,0.553,,,,0.808,0.934,,,1,1,,,,2,"[{""name"": ""object#20"", ""share"": 0.553, ""labels"": [20]}, {""name"": ""object#187"", ""share"": 0.447, ""labels"": [187]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,25.48,26.56,1.07,0.962,object#20,20,0.79,,,,0.266,0.958,,,1,1,,,,2,"[{""name"": ""object#20"", ""share"": 0.79, ""labels"": [20]}, {""name"": ""object#187"", ""share"": 0.21, ""labels"": [187]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,27.5,27.81,0.31,1.01,object#67,67,0.706,,,,0.415,0.001,,,1,1,,,,3,"[{""name"": ""object#67"", ""share"": 0.706, ""labels"": [67]}, {""name"": ""object#59"", ""share"": 0.293, ""labels"": [59]}, {""name"": ""object#223"", ""share"": 0.0, ""labels"": [223]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,29.64,29.98,0.34,0.748,object#187,187,0.718,,,,0.393,0.938,,,1,1,,,,2,"[{""name"": ""object#187"", ""share"": 0.718, ""labels"": [187]}, {""name"": ""object#20"", ""share"": 0.282, ""labels"": [20]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,31.09,31.45,0.36,1.171,object#187,187,0.94,,,,0.064,0.956,,,1,1,,,,2,"[{""name"": ""object#187"", ""share"": 0.94, ""labels"": [187]}, {""name"": ""object#20"", ""share"": 0.06, ""labels"": [20]}]"
2026_08_16/000,e1,v7,,v1_votescope_all,32.16,32.71,0.55,1.208,object#20,20,0.981,,,,0.019,0.94,,,1,1,,,,2,"[{""name"": ""object#20"", ""share"": 0.981, ""labels"": [20]}, {""name"": ""object#187"", ""share"": 0.019, ""labels"": [187]}]"
