rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,cluster010,129.8,lcs_ends,1,12,12,68.5,56,38,26,15,1,11,5.09,石榴:5|球L:3|球M:1|香蕉:1|苹果:1,18.7
2026_08_16/001,e2,v7,stress,cluster010,104.5,fallback_lcs_windows,0,12,6,31.8,49,30,13,7,1,6,3.44,球L:5|球M:1,13.3
2026_08_16/s1,s1,v7,,cluster010,128.1,lcs_ends,1,15,15,87.3,40,25,24,19,0,5,2.34,球M:4|球R:1,4.5
2026_08_16/s2,s2,v7,,cluster010,128.5,lcs_ends,1,15,15,87.4,44,29,27,18,1,9,4.2,球M:4|球L:3|香蕉:1|球R:1,18.0
2026_08_16/s3,s3,v7,,cluster010,128.6,lcs_ends,1,15,15,87.4,47,37,26,18,1,8,3.73,球M:7|球R:1,8.0
2026_08_16/s4,s4,v8,,cluster010,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,57,46,30,21,5,9,3.92,球M:4|球L:3|石榴:1|球R:1,9.9
2026_08_16/s6,s6,v8,,cluster010,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,62,60,50,28,4,22,9.56,球M:10|球L:8|球R:4,23.1
2026_08_18/000,s7,v8,,cluster010,136.5,lcs_ends,1,15,15,87.3,69,61,56,36,9,20,8.79,球M:14|球L:3|球R:3,17.2
2026_08_20/000,c1,v9,,cluster010,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,54,37,28,16,6,12,6.26,球L:4|白杯1:3|球M:2|水瓶:1|苹果粉:1|苹果红:1,11.8
2026_08_20/001,c2,v9,,cluster010,134.9,fallback_lcs_windows,0,15,12,52.1,76,58,44,20,2,24,10.67,球R:10|球M:7|球L:6|白杯2:1,28.4
2026_08_20/002,c4,v9,beyond_occ,cluster010,134.7,fallback_lcs_windows,0,15,10,68.2,44,29,12,6,1,6,2.67,球L:6,24.6
2026_08_20/003,c4,v9,beyond_occ,cluster010,135.2,fallback_lcs_windows,0,15,7,26.8,47,40,13,3,0,10,4.44,球L:7|苹果粉:3,42.2
2026_08_25/c1_1,c4,v9,beyond_occ,cluster010,133.9,fallback_lcs_windows,0,15,8,61.6,37,22,4,1,0,3,1.34,球L:2|球R:1,11.3
2026_08_25/c1_2,c4,v9,,cluster010,133.0,lcs_ends,1,15,15,85.2,34,23,9,6,0,3,1.35,球L:2|球M:1,5.7
2026_08_25/c1_3,c4,v9,,cluster010,130.9,fallback_lcs_windows,0,15,9,75.8,44,28,16,8,1,8,3.67,球L:6|球M:2,22.9
2026_08_25/u3,u3,v9,walking,cluster010,131.8,lcs_ends,1,15,15,85.2,71,49,22,18,5,4,1.82,球L:3|球M:1,4.5
