rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,mass15,129.8,lcs_ends,1,12,12,68.5,69,56,53,34,3,19,8.78,香蕉:5|石榴:4|苹果:4|球L:4|球M:2,20.2
2026_08_16/001,e2,v7,stress,mass15,104.5,fallback_lcs_windows,0,12,6,31.8,50,44,28,14,0,14,8.04,球M:7|球L:6|球R:1,12.1
2026_08_16/s1,s1,v7,,mass15,128.1,lcs_ends,1,15,15,87.3,52,42,39,32,0,7,3.28,球M:3|球L:3|球R:1,8.8
2026_08_16/s2,s2,v7,,mass15,128.5,lcs_ends,1,15,15,87.4,73,63,60,41,4,19,8.87,球M:11|球L:3|球R:3|香蕉:2,19.7
2026_08_16/s3,s3,v7,,mass15,128.6,lcs_ends,1,15,15,87.4,57,47,44,32,2,12,5.6,球M:6|球L:5|球R:1,14.4
2026_08_16/s4,s4,v8,,mass15,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,64,51,38,11,13,5.66,球M:6|球L:4|球R:3,12.3
2026_08_16/s6,s6,v8,,mass15,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,81,78,40,7,38,16.51,球M:20|球L:10|球R:7|石榴:1,33.4
2026_08_18/000,s7,v8,,mass15,136.5,lcs_ends,1,15,15,87.3,95,90,89,60,20,29,12.75,球M:22|球R:4|球L:3,17.9
2026_08_20/000,c1,v9,,mass15,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,94,82,53,34,10,19,9.91,水瓶:5|球L:4|球M:3|白杯1:3|球R:2|苹果粉:2,14.8
2026_08_20/001,c2,v9,,mass15,134.9,fallback_lcs_windows,0,15,12,52.1,115,101,34,13,1,21,9.34,球L:8|苹果粉:5|球R:3|水瓶:2|白杯2:2|球M:1,16.7
2026_08_20/002,c4,v9,beyond_occ,mass15,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,2,2,1,0,0.0,,0
2026_08_20/003,c4,v9,beyond_occ,mass15,135.2,fallback_lcs_windows,0,15,7,26.8,76,72,2,0,0,2,0.89,球L:1|苹果粉:1,1.0
2026_08_25/c1_1,c4,v9,beyond_occ,mass15,133.9,fallback_lcs_windows,0,15,8,61.6,41,35,12,4,0,8,3.59,球L:7|苹果粉:1,24.5
2026_08_25/c1_2,c4,v9,,mass15,133.0,lcs_ends,1,15,15,85.2,44,30,2,2,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,mass15,130.9,fallback_lcs_windows,0,15,9,75.8,56,38,6,5,0,1,0.46,苹果粉:1,0.3
2026_08_25/u3,u3,v9,walking,mass15,131.8,lcs_ends,1,15,15,85.2,103,86,60,49,7,11,5.01,球R:5|球L:4|球M:2,7.6
