rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,noocc15,129.8,lcs_ends,1,12,12,68.5,69,56,51,32,2,19,8.78,香蕉:5|石榴:4|苹果:4|球L:4|球M:2,20.2
2026_08_16/001,e2,v7,stress,noocc15,104.5,fallback_lcs_windows,0,12,6,31.8,50,44,38,16,1,22,12.63,球L:13|球M:6|球R:3,35.8
2026_08_16/s1,s1,v7,,noocc15,128.1,lcs_ends,1,15,15,87.3,52,42,40,33,0,7,3.28,球M:3|球L:3|球R:1,8.8
2026_08_16/s2,s2,v7,,noocc15,128.5,lcs_ends,1,15,15,87.4,73,63,60,40,2,20,9.34,球M:11|球L:5|球R:3|香蕉:1,20.7
2026_08_16/s3,s3,v7,,noocc15,128.6,lcs_ends,1,15,15,87.4,57,47,45,33,2,12,5.6,球M:6|球L:5|球R:1,14.4
2026_08_16/s4,s4,v8,,noocc15,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,64,57,41,12,16,6.97,球M:6|球R:5|球L:5,14.0
2026_08_16/s6,s6,v8,,noocc15,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,81,79,41,9,38,16.51,球M:19|球L:10|球R:8|石榴:1,34.1
2026_08_18/000,s7,v8,,noocc15,136.5,lcs_ends,1,15,15,87.3,95,91,88,59,19,29,12.75,球M:19|球R:8|球L:2,17.9
2026_08_20/000,c1,v9,,noocc15,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,94,82,16,9,0,7,3.65,苹果粉:3|球R:2|水瓶:1|红杯:1,5.3
2026_08_20/001,c2,v9,,noocc15,134.9,fallback_lcs_windows,0,15,12,52.1,115,101,16,9,4,7,3.11,苹果粉:7,2.9
2026_08_20/002,c4,v9,beyond_occ,noocc15,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,0,0,0,0,0.0,,0
2026_08_20/003,c4,v9,beyond_occ,noocc15,135.2,fallback_lcs_windows,0,15,7,26.8,76,72,1,0,0,1,0.44,纸箱子:1,0.3
2026_08_25/c1_1,c4,v9,beyond_occ,noocc15,133.9,fallback_lcs_windows,0,15,8,61.6,41,35,0,0,0,0,0.0,,0
2026_08_25/c1_2,c4,v9,,noocc15,133.0,lcs_ends,1,15,15,85.2,44,30,0,0,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,noocc15,130.9,fallback_lcs_windows,0,15,9,75.8,56,38,0,0,0,0,0.0,,0
2026_08_25/u3,u3,v9,walking,noocc15,131.8,lcs_ends,1,15,15,85.2,103,86,10,9,6,1,0.46,球R:1,1.0
