rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,ours,129.8,lcs_ends,1,12,12,68.5,69,54,46,29,3,17,7.86,苹果:4|香蕉:4|球L:4|石榴:3|球M:2,19.4
2026_08_16/001,e2,v7,stress,ours,104.5,fallback_lcs_windows,0,12,6,31.8,50,35,16,8,1,8,4.59,球L:7|球M:1,12.3
2026_08_16/s1,s1,v7,,ours,128.1,lcs_ends,1,15,15,87.3,52,41,37,30,0,7,3.28,球M:3|球L:3|球R:1,8.8
2026_08_16/s2,s2,v7,,ours,128.5,lcs_ends,1,15,15,87.4,73,63,59,40,2,19,8.87,球M:11|球L:4|球R:3|香蕉:1,19.8
2026_08_16/s3,s3,v7,,ours,128.6,lcs_ends,1,15,15,87.4,57,47,31,22,2,9,4.2,球M:5|球L:3|球R:1,12.2
2026_08_16/s4,s4,v8,,ours,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,53,35,25,7,10,4.36,球M:4|球L:3|球R:2|石榴:1,10.7
2026_08_16/s6,s6,v8,,ours,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,80,64,34,8,30,13.03,球M:16|球L:9|球R:5,30.9
2026_08_18/000,s7,v8,,ours,136.5,lcs_ends,1,15,15,87.3,94,90,83,56,17,27,11.87,球M:20|球R:5|球L:2,16.7
2026_08_20/000,c1,v9,,ours,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,93,82,60,40,18,20,10.43,球L:4|球M:4|水瓶:3|苹果红:3|白杯1:3|苹果粉:2|球R:1,13.5
2026_08_20/001,c2,v9,,ours,134.9,fallback_lcs_windows,0,15,12,52.1,115,101,71,28,0,43,19.13,球L:13|球M:13|球R:11|苹果粉:4|白杯2:2,27.5
2026_08_20/002,c4,v9,beyond_occ,ours,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,20,7,0,13,5.79,球L:12|球R:1,25.7
2026_08_20/003,c4,v9,beyond_occ,ours,135.2,fallback_lcs_windows,0,15,7,26.8,77,71,13,2,0,11,4.88,球L:9|苹果粉:2,24.0
2026_08_25/c1_1,c4,v9,beyond_occ,ours,133.9,fallback_lcs_windows,0,15,8,61.6,41,29,5,1,0,4,1.79,球L:3|球R:1,11.6
2026_08_25/c1_2,c4,v9,,ours,133.0,lcs_ends,1,15,15,85.2,44,30,14,7,0,7,3.16,球L:4|球M:3,12.4
2026_08_25/c1_3,c4,v9,,ours,130.9,fallback_lcs_windows,0,15,9,75.8,56,38,18,11,0,7,3.21,球L:6|球M:1,21.5
2026_08_25/u3,u3,v9,walking,ours,131.8,lcs_ends,1,15,15,85.2,103,84,46,39,8,7,3.19,球L:3|球M:3|球R:1,5.6
