rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,s25,129.8,lcs_ends,1,12,12,68.5,71,56,50,30,1,20,9.25,石榴:5|苹果:4|香蕉:4|球L:4|球M:3,20.5
2026_08_16/001,e2,v7,stress,s25,104.5,fallback_lcs_windows,0,12,6,31.8,50,45,18,6,0,12,6.89,球M:8|球L:2|球R:2,11.8
2026_08_16/s1,s1,v7,,s25,128.1,lcs_ends,1,15,15,87.3,52,42,41,33,0,8,3.75,球M:4|球L:3|球R:1,9.3
2026_08_16/s2,s2,v7,,s25,128.5,lcs_ends,1,15,15,87.4,73,63,48,31,1,17,7.94,球M:11|球R:3|球L:2|苹果:1,18.3
2026_08_16/s3,s3,v7,,s25,128.6,lcs_ends,1,15,15,87.4,57,47,26,19,1,7,3.26,球M:6|球R:1,8.0
2026_08_16/s4,s4,v8,,s25,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,67,64,60,44,12,16,6.97,球M:7|球R:5|球L:4,14.6
2026_08_16/s6,s6,v8,,s25,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,81,59,29,6,30,13.03,球M:19|球L:10|球R:1,24.7
2026_08_18/000,s7,v8,,s25,136.5,lcs_ends,1,15,15,87.3,95,92,48,37,18,11,4.84,球M:9|球L:2,4.4
2026_08_20/000,c1,v9,,s25,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,94,82,7,5,0,2,1.04,苹果粉:2,2.4
2026_08_20/001,c2,v9,,s25,134.9,fallback_lcs_windows,0,15,12,52.1,115,103,2,2,1,0,0.0,,0
2026_08_20/002,c4,v9,beyond_occ,s25,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,0,0,0,0,0.0,,0
2026_08_20/003,c4,v9,beyond_occ,s25,135.2,fallback_lcs_windows,0,15,7,26.8,76,72,0,0,0,0,0.0,,0
2026_08_25/c1_1,c4,v9,beyond_occ,s25,133.9,fallback_lcs_windows,0,15,8,61.6,41,35,0,0,0,0,0.0,,0
2026_08_25/c1_2,c4,v9,,s25,133.0,lcs_ends,1,15,15,85.2,44,30,0,0,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,s25,130.9,fallback_lcs_windows,0,15,9,75.8,56,41,0,0,0,0,0.0,,0
2026_08_25/u3,u3,v9,walking,s25,131.8,lcs_ends,1,15,15,85.2,103,86,3,3,0,0,0.0,,0
