rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,sphere15,129.8,lcs_ends,1,12,12,68.5,71,55,0,0,0,0,0.0,,0
2026_08_16/001,e2,v7,stress,sphere15,104.5,fallback_lcs_windows,0,12,6,31.8,50,33,0,0,0,0,0.0,,0
2026_08_16/s1,s1,v7,,sphere15,128.1,lcs_ends,1,15,15,87.3,52,42,0,0,0,0,0.0,,0
2026_08_16/s2,s2,v7,,sphere15,128.5,lcs_ends,1,15,15,87.4,73,63,0,0,0,0,0.0,,0
2026_08_16/s3,s3,v7,,sphere15,128.6,lcs_ends,1,15,15,87.4,57,37,0,0,0,0,0.0,,0
2026_08_16/s4,s4,v8,,sphere15,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,57,0,0,0,0,0.0,,0
2026_08_16/s6,s6,v8,,sphere15,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,79,0,0,0,0,0.0,,0
2026_08_18/000,s7,v8,,sphere15,136.5,lcs_ends,1,15,15,87.3,96,89,0,0,0,0,0.0,,0
2026_08_20/000,c1,v9,,sphere15,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,94,82,0,0,0,0,0.0,,0
2026_08_20/001,c2,v9,,sphere15,134.9,fallback_lcs_windows,0,15,12,52.1,114,101,0,0,0,0,0.0,,0
2026_08_20/002,c4,v9,beyond_occ,sphere15,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,0,0,0,0,0.0,,0
2026_08_20/003,c4,v9,beyond_occ,sphere15,135.2,fallback_lcs_windows,0,15,7,26.8,75,69,0,0,0,0,0.0,,0
2026_08_25/c1_1,c4,v9,beyond_occ,sphere15,133.9,fallback_lcs_windows,0,15,8,61.6,41,30,0,0,0,0,0.0,,0
2026_08_25/c1_2,c4,v9,,sphere15,133.0,lcs_ends,1,15,15,85.2,44,29,0,0,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,sphere15,130.9,fallback_lcs_windows,0,15,9,75.8,55,36,0,0,0,0,0.0,,0
2026_08_25/u3,u3,v9,walking,sphere15,131.8,lcs_ends,1,15,15,85.2,103,82,0,0,0,0,0.0,,0
