rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,tag15,129.8,lcs_ends,1,12,12,68.5,54,45,38,22,4,16,7.4,球L:7|石榴:3|苹果:3|球M:2|香蕉:1,19.5
2026_08_16/001,e2,v7,stress,tag15,104.5,fallback_lcs_windows,0,12,6,31.8,51,44,32,15,1,17,9.76,球L:9|球M:7|球R:1,19.0
2026_08_16/s1,s1,v7,,tag15,128.1,lcs_ends,1,15,15,87.3,67,57,55,40,0,15,7.03,球M:8|球L:4|球R:3,17.1
2026_08_16/s2,s2,v7,,tag15,128.5,lcs_ends,1,15,15,87.4,70,62,48,34,4,14,6.54,球M:7|球R:3|苹果:2|球L:2,23.3
2026_08_16/s3,s3,v7,,tag15,128.6,lcs_ends,1,15,15,87.4,56,47,36,22,3,14,6.53,球M:10|球L:2|球R:2,15.9
2026_08_16/s4,s4,v8,,tag15,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,70,67,64,46,16,18,7.84,球R:7|球M:6|球L:4|石榴:1,16.1
2026_08_16/s6,s6,v8,,tag15,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,81,79,40,7,39,16.94,球M:20|球L:10|球R:8|石榴:1,34.5
2026_08_18/000,s7,v8,,tag15,136.5,lcs_ends,1,15,15,87.3,86,81,63,41,20,22,9.67,球M:13|石榴:5|球R:2|球L:2,11.5
2026_08_20/000,c1,v9,,tag15,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,82,71,39,26,12,13,6.78,球L:6|球M:4|苹果粉:2|水瓶:1,9.1
2026_08_20/001,c2,v9,,tag15,134.9,fallback_lcs_windows,0,15,12,52.1,98,80,32,13,4,19,8.45,球L:10|球R:7|球M:2,12.2
2026_08_20/002,c4,v9,beyond_occ,tag15,134.7,fallback_lcs_windows,0,15,10,68.2,65,53,27,3,2,24,10.69,苹果粉:24,44.9
2026_08_20/003,c4,v9,beyond_occ,tag15,135.2,fallback_lcs_windows,0,15,7,26.8,74,69,44,5,5,39,17.3,苹果粉:39,62.6
2026_08_25/c1_1,c4,v9,beyond_occ,tag15,133.9,fallback_lcs_windows,0,15,8,61.6,47,40,28,13,11,15,6.72,苹果粉:12|球L:3,32.0
2026_08_25/c1_2,c4,v9,,tag15,133.0,lcs_ends,1,15,15,85.2,44,30,0,0,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,tag15,130.9,fallback_lcs_windows,0,15,9,75.8,50,31,4,4,4,0,0.0,,0
2026_08_25/u3,u3,v9,walking,tag15,131.8,lcs_ends,1,15,15,85.2,71,59,22,14,1,8,3.64,球L:4|球M:3|球R:1,4.8
