rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,v1_cluster0,129.8,lcs_ends,1,12,12,68.5,40,40,39,22,2,17,7.86,石榴:7|球M:3|香蕉:3|球L:3|苹果:1,20.9
2026_08_16/001,e2,v7,stress,v1_cluster0,104.5,fallback_lcs_windows,0,12,6,31.8,46,46,40,16,1,24,13.78,球L:10|球M:9|球R:5,43.1
2026_08_16/s1,s1,v7,,v1_cluster0,128.1,lcs_ends,1,15,15,87.3,28,28,26,19,0,7,3.28,球M:4|石榴:1|球R:1|香蕉:1,5.3
2026_08_16/s2,s2,v7,,v1_cluster0,128.5,lcs_ends,1,15,15,87.4,34,34,29,20,3,9,4.2,球M:4|球L:3|香蕉:1|球R:1,18.0
2026_08_16/s3,s3,v7,,v1_cluster0,128.6,lcs_ends,1,15,15,87.4,37,37,37,28,2,9,4.2,球M:8|球R:1,8.4
2026_08_16/s4,s4,v8,,v1_cluster0,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,55,55,55,41,13,14,6.1,球M:6|球R:5|球L:3,12.9
2026_08_16/s6,s6,v8,,v1_cluster0,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,60,60,59,32,4,27,11.73,球M:12|球L:8|球R:7,26.1
2026_08_18/000,s7,v8,,v1_cluster0,136.5,lcs_ends,1,15,15,87.3,68,68,62,39,8,23,10.11,球M:17|球L:3|球R:2|纸箱子:1,19.1
2026_08_20/000,c1,v9,,v1_cluster0,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,45,45,27,17,5,10,5.22,球L:4|水瓶:2|球M:2|白杯1:1|苹果粉:1,12.6
2026_08_20/001,c2,v9,,v1_cluster0,134.9,fallback_lcs_windows,0,15,12,52.1,65,65,17,7,0,10,4.45,球L:3|球M:2|白杯2:2|球R:1|水瓶:1|纸箱子:1,15.7
2026_08_20/002,c4,v9,beyond_occ,v1_cluster0,134.7,fallback_lcs_windows,0,15,10,68.2,41,41,1,0,0,1,0.45,球R:1,0.4
2026_08_20/003,c4,v9,beyond_occ,v1_cluster0,135.2,fallback_lcs_windows,0,15,7,26.8,46,46,5,0,0,5,2.22,苹果粉:3|纸箱子:1|球L:1,4.3
2026_08_25/c1_1,c4,v9,beyond_occ,v1_cluster0,133.9,fallback_lcs_windows,0,15,8,61.6,31,31,8,1,0,7,3.14,球L:4|苹果粉:2|纸箱子:1,17.6
2026_08_25/c1_2,c4,v9,,v1_cluster0,133.0,lcs_ends,1,15,15,85.2,23,23,1,0,0,1,0.45,球R:1,0.3
2026_08_25/c1_3,c4,v9,,v1_cluster0,130.9,fallback_lcs_windows,0,15,9,75.8,29,29,4,3,1,1,0.46,苹果粉:1,0.3
2026_08_25/u3,u3,v9,walking,v1_cluster0,131.8,lcs_ends,1,15,15,85.2,55,55,41,30,5,11,5.01,球L:6|球R:3|球M:2,7.5
