rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,v2s15,129.8,lcs_ends,1,12,12,68.5,69,56,52,33,3,19,8.78,香蕉:5|石榴:4|苹果:4|球L:4|球M:2,20.2
2026_08_16/001,e2,v7,stress,v2s15,104.5,fallback_lcs_windows,0,12,6,31.8,50,44,32,15,1,17,9.76,球L:9|球M:7|球R:1,19.0
2026_08_16/s1,s1,v7,,v2s15,128.1,lcs_ends,1,15,15,87.3,52,42,40,33,0,7,3.28,球M:3|球L:3|球R:1,8.8
2026_08_16/s2,s2,v7,,v2s15,128.5,lcs_ends,1,15,15,87.4,73,63,59,40,2,19,8.87,球M:11|球L:4|球R:3|香蕉:1,19.8
2026_08_16/s3,s3,v7,,v2s15,128.6,lcs_ends,1,15,15,87.4,57,47,43,31,1,12,5.6,球M:6|球L:5|球R:1,14.4
2026_08_16/s4,s4,v8,,v2s15,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,64,52,38,11,14,6.1,球M:6|球L:5|球R:3,12.6
2026_08_16/s6,s6,v8,,v2s15,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,81,79,40,7,39,16.94,球M:20|球L:10|球R:8|石榴:1,34.5
2026_08_18/000,s7,v8,,v2s15,136.5,lcs_ends,1,15,15,87.3,95,90,89,60,19,29,12.75,球M:23|球R:4|球L:2,17.9
2026_08_20/000,c1,v9,,v2s15,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,94,82,44,31,8,13,6.78,球L:4|球M:4|球R:2|苹果粉:2|水瓶:1,9.6
2026_08_20/001,c2,v9,,v2s15,134.9,fallback_lcs_windows,0,15,12,52.1,115,101,24,8,1,16,7.12,球L:8|球M:3|球R:3|白杯2:1|苹果粉:1,9.4
2026_08_20/002,c4,v9,beyond_occ,v2s15,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,2,2,1,0,0.0,,0
2026_08_20/003,c4,v9,beyond_occ,v2s15,135.2,fallback_lcs_windows,0,15,7,26.8,76,72,2,0,0,2,0.89,球L:1|苹果粉:1,1.0
2026_08_25/c1_1,c4,v9,beyond_occ,v2s15,133.9,fallback_lcs_windows,0,15,8,61.6,41,35,11,4,0,7,3.14,球L:7,24.2
2026_08_25/c1_2,c4,v9,,v2s15,133.0,lcs_ends,1,15,15,85.2,44,30,2,2,0,0,0.0,,0
2026_08_25/c1_3,c4,v9,,v2s15,130.9,fallback_lcs_windows,0,15,9,75.8,56,38,5,5,0,0,0.0,,0
2026_08_25/u3,u3,v9,walking,v2s15,131.8,lcs_ends,1,15,15,85.2,103,86,61,50,7,11,5.01,球R:5|球L:4|球M:2,7.6
