rec,card,era,flags,cfg,duration_s,window_src,reliable,n_items,n_items_with_window,window_cover_s,n_finals,n_obj_finals,n_acc,n_acc_in_window,n_acc_wrong_in_window,n_extra,extra_per_min,extra_objs,extra_dur_s
2026_08_16/000,e1,v7,,vis,129.8,lcs_ends,1,12,12,68.5,69,56,45,28,3,17,7.86,苹果:4|香蕉:4|球L:4|石榴:3|球M:2,19.4
2026_08_16/001,e2,v7,stress,vis,104.5,fallback_lcs_windows,0,12,6,31.8,50,39,20,10,1,10,5.74,球L:9|球M:1,16.5
2026_08_16/s1,s1,v7,,vis,128.1,lcs_ends,1,15,15,87.3,52,40,37,30,0,7,3.28,球M:3|球L:3|球R:1,8.8
2026_08_16/s2,s2,v7,,vis,128.5,lcs_ends,1,15,15,87.4,73,63,59,39,1,20,9.34,球M:11|球L:5|球R:3|香蕉:1,20.7
2026_08_16/s3,s3,v7,,vis,128.6,lcs_ends,1,15,15,87.4,57,46,37,26,2,11,5.13,球M:5|球L:5|球R:1,14.0
2026_08_16/s4,s4,v8,,vis,137.7,lcs_ends(B from A + version delta),1,15,15,87.4,66,58,40,28,7,12,5.23,球M:5|球R:4|球L:3,11.7
2026_08_16/s6,s6,v8,,vis,138.1,lcs_ends(B from A + version delta),1,15,15,87.3,82,80,67,37,8,30,13.03,球M:15|球L:9|球R:6,30.9
2026_08_18/000,s7,v8,,vis,136.5,lcs_ends,1,15,15,87.3,94,90,81,55,17,26,11.43,球M:19|球R:6|球L:1,16.4
2026_08_20/000,c1,v9,,vis,115.0,lcs_ends(B from A + version delta),1,12,12,68.2,93,82,60,39,17,21,10.95,水瓶:4|球L:4|球M:4|苹果红:3|白杯1:3|苹果粉:2|球R:1,13.8
2026_08_20/001,c2,v9,,vis,134.9,fallback_lcs_windows,0,15,12,52.1,115,101,70,26,1,44,19.57,球L:15|球M:12|球R:11|苹果粉:4|白杯2:2,28.5
2026_08_20/002,c4,v9,beyond_occ,vis,134.7,fallback_lcs_windows,0,15,10,68.2,68,55,21,7,0,14,6.24,球L:13|球R:1,25.4
2026_08_20/003,c4,v9,beyond_occ,vis,135.2,fallback_lcs_windows,0,15,7,26.8,77,71,2,1,0,1,0.44,球L:1,0.6
2026_08_25/c1_1,c4,v9,beyond_occ,vis,133.9,fallback_lcs_windows,0,15,8,61.6,41,28,5,1,0,4,1.79,球L:3|球R:1,11.6
2026_08_25/c1_2,c4,v9,,vis,133.0,lcs_ends,1,15,15,85.2,44,30,14,9,0,5,2.26,球L:3|球M:2,9.9
2026_08_25/c1_3,c4,v9,,vis,130.9,fallback_lcs_windows,0,15,9,75.8,56,38,21,12,0,9,4.13,球L:8|球M:1,28.1
2026_08_25/u3,u3,v9,walking,vis,131.8,lcs_ends,1,15,15,85.2,103,84,46,39,8,7,3.19,球L:3|球M:3|球R:1,5.6
