rec,card,participant,room,map,station,flags,wallclock,duration_s,n_items,window_method,tau_A_rel,tau_B_rel,n_logs,has_v2s10,has_noocc10
2026_08_16/000,e1,P1(作者),老房,v7,1.4-1.7m 正对,,2026-08-16 16:20:42,129.8,12,lcs_ends,25.33,17.31,27,1,1
2026_08_16/001,e2,P1(作者),老房,v7,3.1m 正对,stress,2026-08-16 16:57:15,104.5,12,fallback_lcs_windows,,,28,1,1
2026_08_16/s1,s1,P1(作者),老房,v7,~1.6m 正对,,2026-08-16 17:24:24,128.1,15,lcs_ends,0.59,-7.74,28,1,1
2026_08_16/s2,s2,P1(作者),老房,v7,~2.5m 正对,,2026-08-16 17:30:07,128.5,15,lcs_ends,2.02,-6.34,28,1,1
2026_08_16/s3,s3,P1(作者),老房,v7,~3.4m 正对,,2026-08-16 17:27:53,128.6,15,lcs_ends,1.99,-6.54,28,1,1
2026_08_16/s4,s4,P1(作者),新房,v8,3.9m 正对,,2026-08-16 19:57:55,137.7,15,lcs_ends(B from A + version delta),-0.55,-0.55,29,1,1
2026_08_16/s6,s6,P1(作者),新房,v8,4.3m α57°,,2026-08-16 20:00:33,138.1,15,lcs_ends(B from A + version delta),4.48,4.48,26,1,1
2026_08_18/000,s7,P1(作者),新房,v8,3.1m α22.5°,,2026-08-18 20:04:35,136.5,15,lcs_ends,-1.24,-1.76,26,1,1
2026_08_20/000,c1,P1(作者),新房,v9,2m 正对,,2026-08-20 22:15:29,115.0,12,lcs_ends(B from A + version delta),0.82,0.82,26,1,1
2026_08_20/001,c2,P1(作者),新房,v9,2m 正对,,2026-08-20 22:17:35,134.9,15,fallback_lcs_windows,,,26,1,1
2026_08_20/002,c4,P1(作者),新房,v9,4.36m α20.6°,beyond_occ,2026-08-20 22:19:59,134.7,15,fallback_lcs_windows,,,26,1,1
2026_08_20/003,c4,P1(作者),新房,v9,4.52m α14.5°,beyond_occ,2026-08-20 22:22:18,135.2,15,fallback_lcs_windows,,,26,1,1
2026_08_25/c1_1,c4,P1(作者),新房,v9,4.25m α22.2°,beyond_occ,2026-08-25 21:02:19,133.9,15,fallback_lcs_windows,,,26,1,1
2026_08_25/c1_2,c4,P1(作者),新房,v9,4.31m α26.9°,,2026-08-25 21:04:39,133.0,15,lcs_ends,1.67,1.85,26,1,1
2026_08_25/c1_3,c4,P1(作者),新房,v9,3.77m α26.7°,,2026-08-25 21:07:05,130.9,15,fallback_lcs_windows,,,26,1,1
2026_08_25/u3,u3,P1(作者),新房,v9,2.5m 边走,walking,2026-08-25 21:11:48,131.8,15,lcs_ends,0.73,-0.74,26,1,1
2026_08_25/u1,u1,P1(作者),新房,v9,3.70m 正对,excluded(台车偏移 5.8cm),2026-08-25 21:09:29,133.7,15,fallback_lcs_windows,,,1,0,0
