rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,cluster010,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,2,2,2,2,correct,苹果,3.08,-1.99,0.82,0.996,1.026,0.003,0.277,5.07,correct_only,1,0,0,0,,correct,correct,correct,苹果,7.84,correct,苹果,7.84,1.026,,0.996,,1.65
2026_08_16/000,e1,v7,,cluster010,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,1,1,1,1,correct,球M,6.18,2.77,3.73,1.0,0.84,0.0,0.361,3.41,correct_only,1,0,0,0,,correct,correct,correct,球M,3.41,correct,球M,3.41,0.84,,1.0,,1.4
2026_08_16/000,e1,v7,,cluster010,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,1,1,1,1,correct,石榴,5.88,2.56,3.56,1.0,0.541,0.0,0.648,3.32,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.32,correct,石榴,3.32,0.541,,1.0,,1.65
2026_08_16/000,e1,v7,,cluster010,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,4,4,2,2,correct,香蕉,3.35,-0.66,1.02,1.0,0.57,0.0,0.43,4.0,correct_only,1,0,0,0,,correct,correct,correct,香蕉,6.55,correct,香蕉,4.94,0.602,,1.0,,1.54
2026_08_16/000,e1,v7,,cluster010,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球R,2.51,none,,,0.183,,1.0,,1.48
2026_08_16/000,e1,v7,,cluster010,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,2,2,2,2,correct,球L,4.42,1.67,1.97,0.948,0.459,0.044,0.617,2.75,mixed,1,1,0,1,香蕉,correct,correct,correct,球L,2.75,correct,球L,2.75,0.459,0.335,0.948,0.907,1.45
2026_08_16/000,e1,v7,,cluster010,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,1,1,1,1,correct,球M,5.4,-0.61,2.92,1.0,0.539,0.0,0.608,6.01,correct_only,1,0,0,0,,correct,correct,correct,球M,6.01,correct,球M,6.01,0.539,,1.0,,1.46
2026_08_16/000,e1,v7,,cluster010,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.54,2.86,1.0,0.315,0.0,0.795,3.6,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.6,correct,石榴,3.6,0.315,,1.0,,1.65
2026_08_16/000,e1,v7,,cluster010,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,3,3,3,3,correct,香蕉,1.47,0.36,-0.78,1.0,0.512,0.0,0.488,1.1,correct_only,1,0,0,0,,correct,correct,correct,香蕉,4.55,correct,香蕉,4.55,0.575,,1.0,,1.6
2026_08_16/000,e1,v7,,cluster010,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,3.6,none,,,0.189,,0.514,,1.49
