rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,noocc15,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,3,3,correct,苹果,3.08,-0.14,0.82,0.947,1.107,0.024,0.534,3.22,mixed,1,1,0,1,香蕉,correct,correct,correct,苹果,4.61,correct,苹果,4.61,1.107,0.325,0.947,0.814,1.66
2026_08_16/000,e1,v7,,noocc15,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,2,2,2,2,correct,球M,3.11,2.77,0.66,1.0,0.688,0.0,0.704,0.34,correct_only,1,0,0,0,,correct,correct,correct,球M,3.35,correct,球M,3.35,1.116,,1.0,,1.42
2026_08_16/000,e1,v7,,noocc15,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,2,2,correct,石榴,2.51,0.06,0.19,1.0,0.787,0.0,0.707,2.46,correct_only,1,0,0,0,,correct,correct,correct,石榴,5.72,correct,石榴,5.72,0.787,,1.0,,1.64
2026_08_16/000,e1,v7,,noocc15,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,4,4,3,3,correct,香蕉,2.61,-0.33,0.28,0.987,0.391,0.026,0.616,2.94,correct_only,1,0,0,0,,correct,correct,correct,香蕉,4.56,correct,香蕉,4.56,0.432,0.028,0.987,0.382,1.52
2026_08_16/000,e1,v7,,noocc15,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,2,2,2,correct,球R,2.35,1.85,-0.03,1.0,0.271,0.0,0.97,0.5,correct_only,1,0,0,0,,correct,correct,correct,球R,3.01,correct,球R,3.01,0.512,,1.0,,2.08
2026_08_16/000,e1,v7,,noocc15,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,4,4,3,3,correct,球L,3.12,1.72,0.67,0.921,0.852,0.041,0.563,1.4,mixed,1,1,0,1,香蕉,correct,correct,correct,球L,2.08,correct,球L,2.08,0.852,0.254,0.921,0.764,1.46
2026_08_16/000,e1,v7,,noocc15,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,7,7,7,7,correct,球M,0.64,0.04,-1.84,1.0,0.714,0.0,0.693,0.6,correct_only,1,0,0,0,,correct,correct,correct,球M,5.02,correct,球M,5.02,0.906,,1.0,,1.46
2026_08_16/000,e1,v7,,noocc15,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.61,2.86,1.0,0.561,0.0,0.791,3.53,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.53,correct,石榴,3.53,0.561,,1.0,,1.65
2026_08_16/000,e1,v7,,noocc15,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,4,4,3,3,correct,香蕉,1.47,0.36,-0.78,0.966,0.431,0.077,0.573,1.1,correct_only,1,0,0,0,,correct,correct,correct,香蕉,2.98,correct,香蕉,2.98,0.431,0.353,0.966,0.402,1.6
2026_08_16/000,e1,v7,,noocc15,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,1,1,correct,球L,5.71,2.11,3.16,0.585,0.464,0.321,0.649,3.6,correct_only,1,0,0,0,,correct,correct,correct,球L,3.6,correct,球L,3.6,0.464,,0.585,,1.49
