rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,s40,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,2,0,correct,苹果,3.08,-0.14,0.82,0.487,1.159,0.259,0.842,3.22,correct_only,1,0,0,0,,none,correct,correct,苹果,5.05,correct,苹果,4.61,1.159,,0.487,,1.66
2026_08_16/000,e1,v7,,s40,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,2,2,2,2,correct,球M,3.11,2.77,0.66,0.923,1.508,0.055,0.881,0.34,correct_only,1,0,0,0,,correct,correct,correct,球M,3.35,correct,球M,3.35,1.54,,0.945,,1.42
2026_08_16/000,e1,v7,,s40,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,2,2,correct,石榴,2.51,0.06,0.19,0.676,1.185,0.69,0.893,2.46,correct_only,1,0,0,0,,correct,correct,correct,石榴,5.72,correct,石榴,5.72,1.185,,0.676,,1.64
2026_08_16/000,e1,v7,,s40,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,miss,1,61.8,67.43,4,4,1,0,wrong,球M,5.34,5.07,3.01,0.453,1.025,0.202,0.856,0.27,wrong_only,0,1,0,0,球M,none,wrong,wrong,球L,3.88,wrong,球M,0.27,,1.025,,0.453,1.52
2026_08_16/000,e1,v7,,s40,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,2,2,2,correct,球R,2.35,1.85,-0.03,0.843,2.972,0.122,0.944,0.5,correct_only,1,0,0,0,,correct,correct,correct,球R,3.01,correct,球R,3.01,2.972,,0.843,,2.08
2026_08_16/000,e1,v7,,s40,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,4,4,2,0,correct,球L,3.12,1.72,0.67,0.499,0.872,0.197,0.857,1.4,correct_only,1,0,0,0,,none,correct,correct,球L,3.07,correct,球L,2.08,0.872,,0.499,,1.46
2026_08_16/000,e1,v7,,s40,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,7,7,7,7,correct,球M,0.64,0.04,-1.84,0.931,1.498,0.045,0.883,0.6,correct_only,1,0,0,0,,correct,correct,correct,球M,5.02,correct,球M,5.02,1.61,,0.931,,1.46
2026_08_16/000,e1,v7,,s40,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.61,2.86,0.647,1.098,0.791,0.897,3.53,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.53,correct,石榴,3.53,1.098,,0.647,,1.65
2026_08_16/000,e1,v7,,s40,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,miss,1,96.56,102.11,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,苹果,3.47,none,,,,0.951,,0.372,1.6
2026_08_16/000,e1,v7,,s40,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,1,0,correct,球L,5.71,2.11,3.16,0.393,0.896,0.358,0.828,3.6,correct_only,1,0,0,0,,none,correct,correct,球L,3.6,correct,球L,3.6,0.896,,0.393,,1.49
2026_08_16/000,e1,v7,,s40,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,4,0,correct,苹果,2.55,1.72,0.03,0.48,1.081,0.248,0.851,0.83,correct_only,1,0,0,0,,none,correct,correct,苹果,3.8,correct,苹果,3.8,1.081,,0.483,,1.66
2026_08_16/000,e1,v7,,s40,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,117.26,123.17,1,1,1,1,correct,球R,6.1,0.35,3.49,0.785,1.143,0.182,0.927,5.75,correct_only,1,0,0,0,,correct,correct,correct,球R,5.75,correct,球R,5.75,1.143,,0.785,,1.47
2026_08_16/001,e2,v7,stress,s40,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,15.68,19.4,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球L,2.17,none,,,0.73,1.158,0.231,0.326,3.17
2026_08_16/001,e2,v7,stress,s40,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,32.06,40.2,6,6,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,4.06,none,,,1.288,1.436,0.31,0.338,3.31
2026_08_16/001,e2,v7,stress,s40,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,s40,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,s40,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,43.24,45.72,1,1,1,0,correct,球M,2.18,0.5,1.68,0.405,1.72,0.283,0.945,1.68,correct_only,1,0,0,0,,none,correct,correct,球M,1.68,correct,球M,1.68,1.72,,0.405,,3.61
2026_08_16/001,e2,v7,stress,s40,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,s40,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,hit,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,s40,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,s40,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,s40,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,5.8,none,,,,1.491,,0.343,3.33
2026_08_16/001,e2,v7,stress,s40,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,球M,6.23,none,,,,1.137,,0.291,3.28
2026_08_16/001,e2,v7,stress,s40,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,92.73,95.86,3,3,3,0,correct,球M,0.77,0.5,0.27,0.413,1.932,0.308,0.939,0.27,correct_only,1,0,0,0,,none,correct,correct,球M,1.68,correct,球M,1.68,3.566,,0.413,,3.71
2026_08_16/s1,s1,v7,,s40,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,3,3,correct,球R,2.93,-0.76,0.55,0.711,1.25,0.298,0.921,3.68,correct_only,1,0,0,0,,correct,correct,correct,球R,5.8,correct,球R,5.8,1.25,,0.711,,1.61
2026_08_16/s1,s1,v7,,s40,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,0,correct,球L,5.65,-0.85,3.18,0.498,0.916,0.275,0.866,6.5,correct_only,1,0,0,0,,none,correct,correct,球L,6.5,correct,球L,6.5,0.916,,0.498,,1.53
2026_08_16/s1,s1,v7,,s40,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,2,correct,球M,1.86,1.05,-0.64,0.85,1.621,0.031,0.871,0.81,correct_only,1,0,0,0,,correct,correct,correct,球M,4.33,correct,球M,4.33,1.621,,0.859,,1.49
2026_08_16/s1,s1,v7,,s40,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,2,0,correct,球L,1.83,1.12,-0.69,0.476,0.953,0.325,0.854,0.7,correct_only,1,0,0,0,,none,correct,correct,球L,4.22,correct,球L,3.85,0.953,,0.476,,1.54
2026_08_16/s1,s1,v7,,s40,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.64,2.98,0.828,1.635,0.039,0.869,6.01,correct_only,1,0,0,0,,correct,correct,correct,球M,6.01,correct,球M,6.01,1.635,,0.828,,1.5
2026_08_16/s1,s1,v7,,s40,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,4,4,4,4,correct,球M,2.81,-0.71,0.37,0.833,1.659,0.039,0.868,3.52,correct_only,1,0,0,0,,correct,correct,correct,球M,5.69,correct,球M,5.69,1.67,,0.876,,1.49
2026_08_16/s1,s1,v7,,s40,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,2,2,correct,球R,2.71,-1.24,0.28,0.688,1.229,0.338,0.915,3.95,correct_only,1,0,0,0,,correct,correct,correct,球R,6.39,correct,球R,6.39,1.276,,0.688,,1.59
2026_08_16/s1,s1,v7,,s40,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,1,correct,球L,3.6,-0.19,1.16,0.529,0.956,0.265,0.878,3.79,correct_only,1,0,0,0,,correct,correct,correct,球L,5.2,correct,球L,5.2,0.956,,0.529,,1.56
2026_08_16/s1,s1,v7,,s40,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,1,1,correct,球L,5.21,-1.02,2.78,0.503,0.963,0.31,0.873,6.23,correct_only,1,0,0,0,,correct,correct,correct,球L,6.23,correct,球L,6.23,0.963,,0.503,,1.58
2026_08_16/s1,s1,v7,,s40,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,6,6,correct,球M,1.25,0.66,-1.27,0.751,1.565,0.063,0.868,0.6,correct_only,1,0,0,0,,correct,correct,correct,球M,3.85,correct,球M,3.85,1.638,,0.832,,1.56
2026_08_16/s1,s1,v7,,s40,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,1,1,correct,球R,5.41,1.51,2.77,0.619,1.136,0.388,0.913,3.9,correct_only,1,0,0,0,,correct,correct,correct,球R,3.9,correct,球R,3.9,1.136,,0.619,,1.6
2026_08_16/s1,s1,v7,,s40,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,2,correct,球M,4.42,-1.21,1.78,0.805,1.631,0.048,0.866,5.63,correct_only,1,0,0,0,,correct,correct,correct,球M,6.77,correct,球M,6.77,1.679,,0.858,,1.5
2026_08_16/s1,s1,v7,,s40,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,1,1,correct,球R,5.64,-1.08,3.0,0.627,1.276,0.4,0.909,6.72,correct_only,1,0,0,0,,correct,correct,correct,球R,6.72,correct,球R,6.72,1.276,,0.627,,1.61
2026_08_16/s1,s1,v7,,s40,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,2,2,correct,球R,3.92,-0.95,1.26,0.592,1.261,0.47,0.905,4.87,correct_only,1,0,0,0,,correct,correct,correct,球R,6.61,correct,球R,6.34,1.261,,0.592,,1.62
2026_08_16/s1,s1,v7,,s40,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,1,correct,球L,5.74,-0.97,3.03,0.5,0.949,0.323,0.874,6.72,correct_only,1,0,0,0,,correct,correct,correct,球L,6.72,correct,球L,6.72,0.949,,0.5,,1.59
2026_08_16/s2,s2,v7,,s40,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,1,1,correct,球M,5.74,2.11,3.34,0.522,1.717,0.235,0.907,3.63,correct_only,1,0,0,0,,correct,correct,correct,球M,3.63,correct,球M,3.63,1.717,,0.522,,2.35
