rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,selfcal3,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,3,3,correct,苹果,3.08,-0.14,0.82,0.943,1.085,0.026,0.541,3.22,mixed,1,1,0,1,香蕉,correct,correct,correct,苹果,4.61,correct,苹果,4.61,1.085,0.327,0.943,0.814,1.66
2026_08_16/000,e1,v7,,selfcal3,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,2,2,2,2,correct,球M,3.11,2.77,0.66,1.0,0.685,0.0,0.705,0.34,correct_only,1,0,0,0,,correct,correct,correct,球M,3.35,correct,球M,3.35,1.165,,1.0,,1.42
2026_08_16/000,e1,v7,,selfcal3,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,2,2,correct,石榴,2.51,0.06,0.19,1.0,0.798,0.0,0.703,2.46,correct_only,1,0,0,0,,correct,correct,correct,石榴,5.72,correct,石榴,5.72,0.879,,1.0,,1.64
2026_08_16/000,e1,v7,,selfcal3,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,3,3,2,2,correct,香蕉,3.35,-0.33,1.02,0.963,0.468,0.056,0.528,3.67,correct_only,1,0,0,0,,correct,correct,correct,香蕉,4.89,correct,香蕉,4.61,0.468,,0.963,,1.52
2026_08_16/000,e1,v7,,selfcal3,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,2,2,2,correct,球R,1.79,1.24,-0.59,1.0,0.413,0.0,0.869,0.56,correct_only,1,0,0,0,,correct,correct,correct,球R,3.12,correct,球R,3.12,0.7,,1.0,,1.48
2026_08_16/000,e1,v7,,selfcal3,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,4,4,4,4,correct,球L,3.12,1.72,0.67,0.925,0.872,0.039,0.554,1.4,mixed,1,1,0,1,香蕉,correct,correct,correct,球L,2.31,correct,球L,2.31,0.872,0.295,0.925,0.738,1.5
2026_08_16/000,e1,v7,,selfcal3,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,3,3,3,3,correct,球M,2.93,0.37,0.45,1.0,0.847,0.0,0.625,2.56,correct_only,1,0,0,0,,correct,correct,correct,球M,4.92,correct,球M,4.92,0.847,,1.0,,1.51
2026_08_16/000,e1,v7,,selfcal3,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.61,2.86,1.0,1.065,0.0,0.604,3.53,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.53,correct,石榴,3.53,1.065,,1.0,,1.66
2026_08_16/000,e1,v7,,selfcal3,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,6,6,3,3,correct,香蕉,1.47,0.91,-0.78,0.838,0.426,0.418,0.51,0.56,mixed,1,1,0,1,苹果,correct,wrong,wrong,苹果,2.41,correct,香蕉,0.96,0.426,0.959,0.838,0.833,1.61
2026_08_16/000,e1,v7,,selfcal3,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,1,1,correct,球L,5.71,2.11,3.16,0.803,0.669,0.112,0.631,3.6,correct_only,1,0,0,0,,correct,correct,correct,球L,3.6,correct,球L,3.6,0.669,,0.803,,1.49
