rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,sphere10,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.892,0.596,1.66
2026_08_16/000,e1,v7,,sphere10,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.42
2026_08_16/000,e1,v7,,sphere10,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.94,,1.64
2026_08_16/000,e1,v7,,sphere10,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.757,,1.52
2026_08_16/000,e1,v7,,sphere10,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.48
2026_08_16/000,e1,v7,,sphere10,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.831,0.708,1.46
2026_08_16/000,e1,v7,,sphere10,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,7,7,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.46
2026_08_16/000,e1,v7,,sphere10,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.909,,1.65
2026_08_16/000,e1,v7,,sphere10,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.63,0.608,1.6
2026_08_16/000,e1,v7,,sphere10,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,,0.0,,0.561,1.49
2026_08_16/000,e1,v7,,sphere10,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.813,,1.66
2026_08_16/000,e1,v7,,sphere10,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,117.26,123.17,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.47
2026_08_16/001,e2,v7,stress,sphere10,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,15.68,19.4,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.783,,3.17
2026_08_16/001,e2,v7,stress,sphere10,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,32.06,40.2,6,6,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,0.0,0.0,0.944,0.675,3.31
2026_08_16/001,e2,v7,stress,sphere10,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,sphere10,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,sphere10,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,43.24,45.72,1,0,0,0,none,,,,,,,,,,none,0,0,0,0,,none,none,none,,,,,
2026_08_16/001,e2,v7,stress,sphere10,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,sphere10,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,sphere10,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,sphere10,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,sphere10,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,59.99,66.81,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,3.33
2026_08_16/001,e2,v7,stress,sphere10,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,hit,1,66.7,74.18,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.664,,3.28
2026_08_16/001,e2,v7,stress,sphere10,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,92.73,95.86,3,0,0,0,none,,,,,,,,,,none,0,0,0,0,,none,none,none,,,,,
2026_08_16/s1,s1,v7,,sphere10,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.61
2026_08_16/s1,s1,v7,,sphere10,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.869,,1.53
2026_08_16/s1,s1,v7,,sphere10,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.49
2026_08_16/s1,s1,v7,,sphere10,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.843,0.543,1.54
2026_08_16/s1,s1,v7,,sphere10,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,sphere10,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.49
2026_08_16/s1,s1,v7,,sphere10,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.59
2026_08_16/s1,s1,v7,,sphere10,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.868,,1.56
2026_08_16/s1,s1,v7,,sphere10,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,72.27,78.0,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,0.776,,1.58
2026_08_16/s1,s1,v7,,sphere10,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.56
2026_08_16/s1,s1,v7,,sphere10,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,86.14,92.08,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.6
2026_08_16/s1,s1,v7,,sphere10,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.5
2026_08_16/s1,s1,v7,,sphere10,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,100.34,106.28,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,,1.0,,1.61
2026_08_16/s1,s1,v7,,sphere10,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,107.44,113.4,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,0.0,0.0,0.995,0.501,1.62
