rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,tag15,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,1,1,wrong,香蕉,5.07,4.63,2.81,0.681,0.215,0.944,0.702,0.44,wrong_only,0,1,0,0,香蕉,wrong,correct,correct,苹果,4.61,wrong,香蕉,0.44,0.157,0.215,1.0,0.681,1.65
2026_08_16/000,e1,v7,,tag15,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,1,1,1,1,correct,球M,6.18,2.77,3.73,1.0,0.752,0.0,0.667,3.41,correct_only,1,0,0,0,,correct,correct,correct,球M,3.41,correct,球M,3.41,0.752,,1.0,,1.39
2026_08_16/000,e1,v7,,tag15,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,2,2,correct,石榴,2.51,0.06,0.19,1.0,0.543,0.0,0.798,2.46,correct_only,1,0,0,0,,correct,correct,correct,石榴,5.72,correct,石榴,5.72,0.543,,1.0,,1.65
2026_08_16/000,e1,v7,,tag15,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,61.8,67.43,3,3,3,3,wrong,球L,3.35,0.02,1.02,0.798,0.637,0.115,0.646,3.33,mixed,1,1,1,0,球L,wrong,wrong,wrong,球L,4.27,wrong,球L,4.27,0.202,0.65,1.0,0.903,1.48
2026_08_16/000,e1,v7,,tag15,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,1,1,1,1,correct,球R,5.14,1.24,2.76,1.0,0.925,0.0,0.708,3.9,correct_only,1,0,0,0,,correct,correct,correct,球R,3.9,correct,球R,3.9,0.925,,1.0,,1.5
2026_08_16/000,e1,v7,,tag15,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,75.43,81.18,2,2,2,2,correct,球L,4.42,1.72,1.97,1.0,0.512,0.0,0.758,2.7,correct_only,1,0,0,0,,correct,correct,correct,球L,3.98,correct,球L,3.98,0.87,,1.0,,1.43
2026_08_16/000,e1,v7,,tag15,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,2,2,2,2,correct,球M,4.35,-0.61,1.87,1.0,1.012,0.0,0.565,4.96,correct_only,1,0,0,0,,correct,correct,correct,球M,5.95,correct,球M,5.95,1.012,,1.0,,1.45
2026_08_16/000,e1,v7,,tag15,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,1,1,correct,石榴,5.14,1.82,2.86,0.997,0.63,0.005,0.765,3.32,correct_only,1,0,0,0,,correct,correct,correct,石榴,3.32,correct,石榴,3.32,0.63,,0.997,,1.66
2026_08_16/000,e1,v7,,tag15,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,miss,1,96.56,102.11,4,4,2,2,correct,香蕉,4.09,3.22,1.84,0.686,0.206,0.99,0.713,0.87,mixed,1,1,0,1,苹果,correct,wrong,wrong,球L,2.33,correct,香蕉,0.87,0.206,0.437,0.686,0.583,1.56
2026_08_16/000,e1,v7,,tag15,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,hit,1,103.27,109.12,1,1,1,1,correct,球L,5.71,2.11,3.16,1.0,0.797,0.0,0.623,3.6,correct_only,1,0,0,0,,correct,correct,correct,球L,3.6,correct,球L,3.6,0.797,,1.0,,1.43
