rec,card,era,flags,cfg,k,target,size,theta_unit,tier,occl,walking,stress,window_src,reliable,lcs,has_window,win_start_rel,win_end_rel,n_finals,n_obj_finals,n_acc,n_acc_e2,outcome_first,first_obj,first_lat_end,first_lat_start,first_lat_stare,first_share,first_capture,first_A,first_p_none,first_dur,outcome_any,any_correct,any_wrong,flip_wrong_then_correct,flip_correct_then_wrong,wrong_objs,first_e2,ungated_first,ungated_majority,ungated_majority_obj,ungated_majority_dur,gated_majority,gated_majority_obj,gated_majority_dur,best_target_capture,best_wrong_capture,best_target_share,best_wrong_share,dist_m
2026_08_16/000,e1,v7,,v1_votescope_all,1,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,41.39,46.95,3,3,1,1,correct,苹果,3.08,-0.14,0.82,0.522,,,0.19,3.22,correct_only,1,0,0,0,,correct,correct,correct,苹果,4.61,correct,苹果,3.22,0.0,0.0,0.522,0.324,1.66
2026_08_16/000,e1,v7,,v1_votescope_all,2,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,48.11,53.86,2,2,1,0,correct,球M,6.18,3.17,3.73,0.499,,,0.005,3.02,correct_only,1,0,0,0,,none,correct,correct,球M,3.35,correct,球M,3.02,0.0,,0.499,,1.42
2026_08_16/000,e1,v7,,v1_votescope_all,3,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,55.02,60.64,2,2,1,0,correct,石榴,2.51,0.06,0.19,0.497,,,0.417,2.46,correct_only,1,0,0,0,,none,correct,correct,石榴,5.72,correct,石榴,2.46,0.0,,0.497,,1.64
2026_08_16/000,e1,v7,,v1_votescope_all,4,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,miss,1,61.8,67.43,4,4,3,1,wrong,object#316,2.61,-0.33,0.28,0.473,,,0.018,2.94,wrong_only,0,1,0,0,object#17|object#316,wrong,wrong,wrong,object#316,3.88,wrong,object#316,3.88,0.0,0.0,0.442,0.808,1.52
2026_08_16/000,e1,v7,,v1_votescope_all,5,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,68.59,74.27,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,correct,球R,2.51,none,,,0.0,0.0,0.426,0.662,2.08
2026_08_16/000,e1,v7,,v1_votescope_all,6,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,miss,1,75.43,81.18,4,4,4,4,wrong,object#316,3.12,1.72,0.67,0.597,,,0.026,1.4,wrong_only,0,1,0,0,object#316,wrong,wrong,wrong,object#316,3.07,wrong,object#316,3.07,,0.0,,0.604,1.46
2026_08_16/000,e1,v7,,v1_votescope_all,7,球M,ball(3cm),8.3,≥2.5°,clear,0,0,schedule,1,hit,1,82.88,88.66,7,7,4,0,correct,球M,1.66,0.7,-0.82,0.388,,,0.003,0.96,correct_only,1,0,0,0,,none,correct,correct,球M,5.02,correct,球M,2.62,0.0,,0.388,,1.46
2026_08_16/000,e1,v7,,v1_votescope_all,8,石榴,fruit(4-5cm),6.01,≥2.5°,clear,0,0,schedule,1,hit,1,89.82,95.4,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,石榴,3.53,none,,,0.0,,0.448,,1.65
2026_08_16/000,e1,v7,,v1_votescope_all,9,香蕉,banana,4.22,≥2.5°,clear,0,0,schedule,1,hit,1,96.56,102.11,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,香蕉,3.47,none,,,0.0,,0.432,,1.6
2026_08_16/000,e1,v7,,v1_votescope_all,10,球L,ball(3cm),5.53,≥2.5°,clear,0,0,schedule,1,miss,1,103.27,109.12,1,1,1,1,wrong,object#316,5.71,2.11,3.16,0.582,,,0.01,3.6,wrong_only,0,1,0,0,object#316,wrong,wrong,wrong,object#316,3.6,wrong,object#316,3.6,,0.0,,0.582,1.49
2026_08_16/000,e1,v7,,v1_votescope_all,11,苹果,fruit(4-5cm),4.22,≥2.5°,clear,0,0,schedule,1,hit,1,110.28,116.1,4,4,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,苹果,3.8,none,,,0.0,,0.335,,1.66
2026_08_16/000,e1,v7,,v1_votescope_all,12,球R,ball(3cm),6.01,≥2.5°,clear,0,0,schedule,1,miss,1,117.26,123.17,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#318,5.75,none,,,,0.0,,0.444,1.47
2026_08_16/001,e2,v7,stress,v1_votescope_all,1,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,15.68,19.4,2,2,2,0,wrong,object#10,2.67,0.5,2.17,0.378,,,0.311,2.17,wrong_only,0,1,0,0,object#10|object#46,none,wrong,wrong,object#10,2.17,wrong,object#10,2.17,,0.0,,0.411,3.17
2026_08_16/001,e2,v7,stress,v1_votescope_all,2,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,32.06,40.2,6,6,1,0,wrong,object#318,1.58,0.5,1.08,0.356,,,0.449,1.08,wrong_only,0,1,0,0,object#318,none,wrong,wrong,object#318,6.45,wrong,object#318,1.08,,0.0,,0.356,3.31
2026_08_16/001,e2,v7,stress,v1_votescope_all,3,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_votescope_all,4,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_votescope_all,5,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,43.24,45.72,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#46,1.68,none,,,,0.0,,0.22,3.61
2026_08_16/001,e2,v7,stress,v1_votescope_all,6,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_votescope_all,7,苹果,fruit(4-5cm),1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_votescope_all,8,石榴,fruit(4-5cm),1.56,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_votescope_all,9,香蕉,banana,1.38,1.0–2.5°,occluded(front-capture),0,1,none,0,miss,0,,,,,,,unknown,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,
2026_08_16/001,e2,v7,stress,v1_votescope_all,10,球R,ball(3cm),1.56,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,59.99,66.81,2,2,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#130,3.52,none,,,,0.0,,0.305,3.33
2026_08_16/001,e2,v7,stress,v1_votescope_all,11,球L,ball(3cm),2.1,1.0–2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,66.7,74.18,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#46,3.95,none,,,,0.0,,0.306,3.28
2026_08_16/001,e2,v7,stress,v1_votescope_all,12,球M,ball(3cm),3.21,≥2.5°,occluded(front-capture),0,1,lcs_episode,0,miss,1,92.73,95.86,3,3,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#46,1.41,none,,,,0.0,,0.342,3.71
2026_08_16/s1,s1,v7,,v1_votescope_all,1,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,16.77,22.45,3,3,2,0,wrong,object#318,2.93,-0.76,0.55,0.454,,,0.212,3.68,mixed,1,1,1,0,object#318,none,wrong,wrong,object#318,3.68,wrong,object#318,3.68,0.0,0.0,0.452,0.454,1.61
2026_08_16/s1,s1,v7,,v1_votescope_all,2,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,23.61,29.38,1,1,1,0,correct,球L,5.65,-0.85,3.18,0.463,,,0.18,6.5,correct_only,1,0,0,0,,none,correct,correct,球L,6.5,correct,球L,6.5,0.0,,0.463,,1.53
2026_08_16/s1,s1,v7,,v1_votescope_all,3,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,30.54,36.34,2,2,2,0,correct,球M,1.86,1.05,-0.64,0.495,,,0.003,0.81,correct_only,1,0,0,0,,none,correct,correct,球M,4.33,correct,球M,4.33,0.0,,0.495,,1.49
2026_08_16/s1,s1,v7,,v1_votescope_all,4,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,37.5,43.32,3,3,2,1,wrong,object#316,2.26,1.88,-0.26,0.606,,,0.023,0.38,wrong_only,0,1,0,0,object#316,wrong,correct,wrong,object#316,3.52,wrong,object#316,3.52,0.0,0.0,0.438,0.606,1.54
2026_08_16/s1,s1,v7,,v1_votescope_all,5,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,44.48,50.18,1,1,1,1,correct,球M,5.38,-0.64,2.98,0.502,,,0.005,6.01,correct_only,1,0,0,0,,correct,correct,correct,球M,6.01,correct,球M,6.01,0.0,,0.502,,1.5
2026_08_16/s1,s1,v7,,v1_votescope_all,6,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,51.34,57.08,4,4,3,2,correct,球M,2.81,-0.71,0.37,0.51,,,0.011,3.52,correct_only,1,0,0,0,,correct,correct,correct,球M,5.69,correct,球M,5.2,0.0,,0.52,,1.49
2026_08_16/s1,s1,v7,,v1_votescope_all,7,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,hit,1,58.24,63.97,2,2,1,0,correct,球R,5.2,2.77,2.77,0.447,,,0.235,2.44,correct_only,1,0,0,0,,none,wrong,wrong,object#318,3.95,correct,球R,2.44,0.0,0.0,0.447,0.429,1.59
2026_08_16/s1,s1,v7,,v1_votescope_all,8,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,65.37,71.11,2,2,2,0,correct,球L,3.6,-0.19,1.16,0.49,,,0.355,3.79,mixed,1,1,0,1,object#316,none,correct,correct,球L,3.79,correct,球L,3.79,0.0,0.0,0.49,0.457,1.56
2026_08_16/s1,s1,v7,,v1_votescope_all,9,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,miss,1,72.27,78.0,1,1,1,0,correct,球L,5.21,-1.02,2.78,0.465,,,0.368,6.23,correct_only,1,0,0,0,,none,correct,correct,球L,6.23,correct,球L,6.23,0.0,,0.465,,1.58
2026_08_16/s1,s1,v7,,v1_votescope_all,10,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,79.16,84.98,6,6,3,1,correct,球M,1.25,0.66,-1.27,0.389,,,0.026,0.6,correct_only,1,0,0,0,,correct,correct,correct,球M,2.38,correct,球M,1.62,0.0,0.0,0.524,0.339,1.56
2026_08_16/s1,s1,v7,,v1_votescope_all,11,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,miss,1,86.14,92.08,1,1,1,1,wrong,object#318,5.41,1.51,2.77,0.509,,,0.05,3.9,wrong_only,0,1,0,0,object#318,wrong,wrong,wrong,object#318,3.9,wrong,object#318,3.9,,0.0,,0.509,1.6
2026_08_16/s1,s1,v7,,v1_votescope_all,12,球M,ball(3cm),7.69,≥2.5°,clear,0,0,schedule,1,hit,1,93.24,99.18,2,2,2,1,correct,球M,4.42,-1.21,1.78,0.449,,,0.024,5.63,correct_only,1,0,0,0,,correct,correct,correct,球M,6.77,correct,球M,6.77,0.0,,0.54,,1.5
2026_08_16/s1,s1,v7,,v1_votescope_all,13,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,miss,1,100.34,106.28,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,wrong,wrong,object#318,6.72,none,,,,0.0,,0.38,1.61
2026_08_16/s1,s1,v7,,v1_votescope_all,14,球R,ball(3cm),5.41,≥2.5°,clear,0,0,schedule,1,miss,1,107.44,113.4,3,3,1,1,wrong,object#17,4.25,3.98,1.59,0.522,,,0.034,0.27,wrong_only,0,1,0,0,object#17,wrong,wrong,wrong,object#318,6.34,wrong,object#17,0.27,,0.0,,0.522,1.62
2026_08_16/s1,s1,v7,,v1_votescope_all,15,球L,ball(3cm),5.02,≥2.5°,clear,0,0,schedule,1,hit,1,114.56,120.57,1,1,1,0,correct,球L,5.74,-0.97,3.03,0.456,,,0.394,6.72,correct_only,1,0,0,0,,none,correct,correct,球L,6.72,correct,球L,6.72,0.0,,0.456,,1.59
2026_08_16/s2,s2,v7,,v1_votescope_all,1,球M,ball(3cm),4.47,≥2.5°,clear,0,0,schedule,1,hit,1,18.18,23.88,1,1,0,0,none,,,,,,,,,,none,0,0,0,0,,none,correct,correct,球M,3.63,none,,,0.0,,0.245,,2.35
