rec,card,era,flags,dur_s,method,old_audio,tau_A_rel,tau_B_rel,delta_tau,expected_delta,nA,madA,nB,madB,n_items,pipeline_final_in_stare,lcs_in_window
2026_08_16/000,e1,v7,,129.8,lcs_ends,True,25.33,17.31,-8.02,-8.56,6,0.7073084999574348,6,0.16228425013832748,12,12,12/12
2026_08_16/001,e2,v7,stress,104.5,fallback_lcs_windows,True,-2.51,-24.7,-22.19,-8.57,3,1.0245439999271184,3,0.23466099984943867,12,0,6/6
2026_08_16/s1,s1,v7,,128.1,lcs_ends,True,0.59,-7.74,-8.32,-8.57,6,0.17729474999941885,6,0.04108625010121614,15,15,12/12
2026_08_16/s2,s2,v7,,128.5,lcs_ends,True,2.02,-6.34,-8.36,-8.56,7,0.18440549983642995,7,0.12139700027182698,15,15,13/13
2026_08_16/s3,s3,v7,,128.6,lcs_ends,True,1.99,-6.54,-8.53,-8.57,5,0.18019500002264977,8,0.5042337498161942,15,15,11/12
2026_08_16/s4,s4,v8,,137.7,lcs_ends(B from A + version delta),False,-0.55,-0.55,0.0,0.0,6,0.7354827498784289,5,1.2504339998122305,15,14,8/8
2026_08_16/s6,s6,v8,,138.1,lcs_ends(B from A + version delta),False,4.48,4.48,0.0,0.0,7,0.39805949991568923,8,0.8464967500185594,15,15,13/13
2026_08_18/000,s7,v8,,136.5,lcs_ends,False,-1.24,-1.76,-0.52,0.0,6,0.7145505000000298,7,0.6847854999999754,15,15,11/12
2026_08_20/000,c1,v9,,115.0,lcs_ends(B from A + version delta),False,0.82,0.82,0.0,0.0,4,0.6480467500077793,3,12.20380499996827,12,12,5/7
2026_08_20/001,c2,v9,,134.9,fallback_lcs_windows,False,-1.32,-2.55,-1.23,0.0,5,1.462211500009289,6,1.0866632499964908,15,0,10/10
2026_08_20/002,c4,v9,beyond_occ,134.7,fallback_lcs_windows,False,-32.69,-17.81,14.88,0.0,2,0.4738469999865629,6,17.19878000000608,15,0,8/8
2026_08_20/003,c4,v9,beyond_occ,135.2,fallback_lcs_windows,False,-28.41,-74.73,-46.31,0.0,2,15.307642999992822,4,6.903535999997985,15,0,6/6
2026_08_25/c1_1,c4,v9,beyond_occ,133.9,fallback_lcs_windows,False,-15.8,5.76,21.56,0.0,2,9.19743875000006,6,4.04622449999988,15,0,7/7
2026_08_25/c1_2,c4,v9,,133.0,lcs_ends,False,1.67,1.85,0.18,0.0,5,0.11447249999991982,7,0.26934449999998833,15,15,11/12
2026_08_25/c1_3,c4,v9,,130.9,fallback_lcs_windows,False,-10.76,-39.97,-29.21,0.0,3,1.6839665000002242,5,7.997123500000271,15,0,8/8
2026_08_25/u3,u3,v9,walking,131.8,lcs_ends,False,0.73,-0.74,-1.47,0.0,6,0.5734932500004106,7,0.5857670000000326,15,15,12/13
2026_08_25/u1,u1,v9,excluded,133.7,fallback_lcs_windows,False,,,,0.0,0,,0,,15,0,0/0
