config,desc,rel129_ungated_correct,rel129_ungated_wrong,rel_n,rel129_gated_correct,rel129_gated_wrong,rel129_gated_none,all204_ungated_correct,all204_ungated_wrong,all204_ungated_none,all204_gated_correct,all204_gated_wrong,all204_gated_none,tier_ungated,tier_gated,stress_ungated,stress_gated,stress_n,walking_ungated,walking_gated,walking_n
v1,"v1 冻结(σ1.5,v1 投票)",115,14,129,105,9,15,144,31,29,112,11,81,55/58 58/66 29/78,55/58 48/66 7/78,6,6,12,11,13,15
ours,ours:v2 σ=1° capture 排序,120,9,129,98,11,20,166,9,29,120,11,73,56/58 58/66 50/78,52/58 44/66 22/78,6,3,12,14,10,15
noocc,忽略遮挡(逐实例渲染),122,7,129,101,4,24,163,12,29,106,7,91,56/58 59/66 46/78,53/58 42/66 11/78,6,4,12,9,4,15
vis,"可见性=z 检验,无最近高斯认领",120,9,129,106,7,16,164,11,29,126,7,71,56/58 58/66 48/78,53/58 50/66 21/78,6,4,12,14,10,15
noocc_ng,"忽略遮挡,无距离闸",122,7,129,101,4,24,163,12,29,105,7,92,56/58 59/66 46/78,53/58 42/66 10/78,6,4,12,9,4,15
mass10,σ=1° 质量份额排序(无面积归一),121,8,129,98,11,20,165,10,29,120,11,73,56/58 59/66 48/78,52/58 44/66 22/78,6,3,12,12,10,15
v2s15,v2 σ=1.5°,117,12,129,107,9,13,152,23,29,116,11,77,56/58 58/66 38/78,56/58 49/66 11/78,6,6,12,14,15,15
mass15,σ=1.5° 质量份额排序,118,11,129,107,9,13,151,24,29,118,11,75,56/58 58/66 35/78,56/58 48/66 12/78,6,6,12,12,15,15
noocc15,忽略遮挡 σ=1.5°,119,10,129,102,4,23,155,20,29,104,7,93,56/58 59/66 40/78,56/58 43/66 5/78,6,6,12,12,3,15
sphere10,"球投票 σ=1°(mode≠cone,过不了闸)",97,31,129,0,0,129,120,53,31,0,0,204,54/58 49/66 15/78,0/58 0/66 0/78,4,0,12,9,0,15
naive,最近质心 0.35m,96,33,129,96,33,0,117,58,29,117,58,29,56/58 46/66 15/78,56/58 46/66 15/78,4,4,12,9,9,15
sphere15,球投票 σ=1.5°,97,31,129,0,0,129,120,53,31,0,0,204,54/58 49/66 15/78,0/58 0/66 0/78,4,0,12,9,0,15
table10,桌子当目标 σ=1°,112,17,129,87,19,23,144,31,29,87,36,81,56/58 50/66 36/78,52/58 29/66 6/78,6,3,12,2,1,15
table15,桌子当目标 σ=1.5°,116,13,129,100,8,21,151,24,29,100,9,95,56/58 57/66 38/78,56/58 39/66 5/78,6,6,12,11,1,15
cluster010,米制聚类 σ=1°,121,8,129,93,9,27,160,15,29,118,11,75,57/58 58/66 43/78,53/58 40/66 23/78,6,3,12,14,10,15
cluster015,米制聚类 σ=1.5°,118,11,129,106,7,16,150,25,29,115,7,82,56/58 56/66 38/78,57/58 46/66 12/78,6,6,12,14,13,15
s02,σ=0.2°(≈单射线),79,12,129,60,5,64,102,19,83,73,6,125,48/58 29/66 23/78,41/58 19/66 11/78,1,0,12,3,1,15
s05,σ=0.5°,99,15,129,70,6,53,131,23,50,93,9,102,53/58 42/66 34/78,44/58 26/66 21/78,4,0,12,7,3,15
s25,σ=2.5°,104,25,129,79,11,39,130,45,29,80,12,112,56/58 47/66 27/78,52/58 23/66 5/78,5,4,12,14,2,15
s40,σ=4°,77,52,129,46,5,78,92,83,29,46,5,153,51/58 26/66 15/78,42/58 4/66 0/78,3,2,12,13,0,15
selfcal,对象自校准,117,12,129,107,9,13,152,23,29,116,11,77,56/58 58/66 38/78,56/58 49/66 11/78,6,6,12,14,15,15
selfcal2,自校准门 0.2/2 物,113,16,129,100,11,18,148,27,29,109,13,82,56/58 54/66 38/78,57/58 41/66 11/78,5,5,12,15,14,15
selfcal3,自校准会话连续,104,25,129,92,20,17,135,37,32,101,21,82,51/58 49/66 33/78,51/58 39/66 9/78,3,3,12,15,14,15
tag15,书签戳直接用,102,27,129,88,20,21,119,56,29,95,34,75,51/58 46/66 22/78,49/58 38/66 8/78,6,6,12,14,7,15
v1_votescope_all,v1 去词表过滤,31,98,129,19,56,54,39,136,29,20,76,108,25/58 9/66 3/78,15/58 4/66 1/78,0,0,12,2,1,15
v1_priors_off,v1 去物品台先验,100,29,129,100,28,1,100,75,29,100,72,32,55/58 39/66 6/78,55/58 39/66 6/78,6,6,12,0,0,15
v1_cluster0,v1 米制聚类,115,14,129,105,8,16,144,31,29,112,8,84,55/58 58/66 29/78,55/58 48/66 7/78,6,6,12,14,12,15
