cfg,desc,all,tier_hi,tier_mid,tier_lo,clear,occluded,walking,all_gated,n_stand,n_walk,outcome
full,"Full(现行方法,σ=1°)",281/330 (85%),132/139 (95%),92/103 (89%),57/88 (65%),271/300 (90%),10/30 (33%),56/57 (98%),211/330 (64%),330,57,"{'correct': 281, 'wrong': 17, 'none': 32}"
s01,≈单射线 σ=0.1°,137/330 (42%),84/139 (60%),38/103 (37%),15/88 (17%),127/300 (42%),10/30 (33%),16/57 (28%),122/330 (37%),330,57,"{'correct': 137, 'none': 171, 'wrong': 22}"
s02,σ=0.2°,170/330 (52%),97/139 (70%),49/103 (48%),24/88 (27%),159/300 (53%),11/30 (37%),26/57 (46%),127/330 (38%),330,57,"{'correct': 170, 'none': 136, 'wrong': 24}"
s05,σ=0.5°,227/330 (69%),121/139 (87%),67/103 (65%),39/88 (44%),218/300 (73%),9/30 (30%),47/57 (82%),155/330 (47%),330,57,"{'correct': 227, 'wrong': 30, 'none': 73}"
s15,σ=1.5°,267/330 (81%),132/139 (95%),90/103 (87%),45/88 (51%),259/300 (86%),8/30 (27%),56/57 (98%),220/330 (67%),330,57,"{'correct': 267, 'wrong': 31, 'none': 32}"
s25,σ=2.5°,237/330 (72%),131/139 (94%),72/103 (70%),34/88 (39%),235/300 (78%),2/30 (7%),54/57 (95%),161/330 (49%),330,57,"{'correct': 237, 'wrong': 61, 'none': 32}"
s40,σ=4°,192/330 (58%),126/139 (91%),44/103 (43%),22/88 (25%),191/300 (64%),1/30 (3%),48/57 (84%),84/330 (25%),330,57,"{'correct': 192, 'wrong': 106, 'none': 32}"
sphere,"球体投票(视角无关,无遮挡)",201/330 (61%),104/139 (75%),77/103 (75%),20/88 (23%),197/300 (66%),4/30 (13%),48/57 (84%),0/330 (0%),330,57,"{'correct': 201, 'wrong': 93, 'none': 36}"
mass,去面积归一(按锥质量份额排序),283/330 (86%),132/139 (95%),96/103 (93%),55/88 (62%),271/300 (90%),12/30 (40%),52/57 (91%),213/330 (65%),330,57,"{'correct': 283, 'wrong': 15, 'none': 32}"
table,物品台入候选集,217/330 (66%),92/139 (66%),81/103 (79%),44/88 (50%),211/300 (70%),6/30 (20%),21/57 (37%),122/330 (37%),330,57,"{'correct': 217, 'wrong': 81, 'none': 32}"
cluster010,固定半径聚类 0.1 m,279/330 (85%),132/139 (95%),93/103 (90%),54/88 (61%),270/300 (90%),9/30 (30%),53/57 (93%),212/330 (64%),330,57,"{'correct': 279, 'wrong': 18, 'none': 33}"
vis,可见性=z 检验(无最近高斯认领),279/330 (85%),132/139 (95%),92/103 (89%),55/88 (62%),269/300 (90%),10/30 (33%),56/57 (98%),219/330 (66%),330,57,"{'correct': 279, 'wrong': 19, 'none': 32}"
noocc,忽略遮挡(逐实例单独渲染),278/330 (84%),132/139 (95%),92/103 (89%),54/88 (61%),266/300 (89%),12/30 (40%),51/57 (89%),197/330 (60%),330,57,"{'correct': 278, 'wrong': 20, 'none': 32}"
