rec,card,room,map,station,tags,target,outcome,theta_deg,theta_src,vote,dur_s,dist_m
000,e1,老房,v7,1.4-1.7m 正对,,苹果,hit,4.22,unit,0.9,6.0,1.66
000,e1,老房,v7,1.4-1.7m 正对,,网球M,hit,8.3,unit,1.0,6.3,1.39
000,e1,老房,v7,1.4-1.7m 正对,,石榴,hit,6.01,unit,0.98,6.2,1.65
000,e1,老房,v7,1.4-1.7m 正对,,香蕉,hit,4.22,unit,0.94,5.7,1.51
000,e1,老房,v7,1.4-1.7m 正对,,网球R,hit,6.01,unit,1.0,2.5,1.48
000,e1,老房,v7,1.4-1.7m 正对,,网球L,hit,5.53,unit,0.77,3.9,1.42
000,e1,老房,v7,1.4-1.7m 正对,,网球M,hit,8.3,unit,1.0,5.4,1.49
000,e1,老房,v7,1.4-1.7m 正对,,石榴,hit,6.01,unit,0.98,5.6,1.65
000,e1,老房,v7,1.4-1.7m 正对,,香蕉,hit,4.22,unit,0.91,4.7,1.57
000,e1,老房,v7,1.4-1.7m 正对,,网球L,hit,5.53,unit,0.63,2.8,1.45
000,e1,老房,v7,1.4-1.7m 正对,,香蕉,extra,4.22,unit,0.59,3.6,1.49
000,e1,老房,v7,1.4-1.7m 正对,,苹果,hit,4.22,unit,0.77,6.3,1.65
000,e1,老房,v7,1.4-1.7m 正对,,网球R,hit,6.01,unit,1.0,5.8,1.47
001,e2,老房,v7,3.1m 正对,stress,网球L,hit,2.1,unit,0.91,6.4,3.17
001,e2,老房,v7,3.1m 正对,stress,网球R,hit,1.56,unit,0.81,5.3,3.18
001,e2,老房,v7,3.1m 正对,stress,苹果,miss,1.38,unit,,,
001,e2,老房,v7,3.1m 正对,stress,石榴,miss,1.56,unit,,,
001,e2,老房,v7,3.1m 正对,stress,网球L,extra,2.1,unit,0.76,5.1,3.28
001,e2,老房,v7,3.1m 正对,stress,网球R,extra,1.56,unit,0.73,6.4,3.32
001,e2,老房,v7,3.1m 正对,stress,网球M,hit,3.21,unit,0.96,1.7,3.61
001,e2,老房,v7,3.1m 正对,stress,香蕉,miss,1.38,unit,,,
001,e2,老房,v7,3.1m 正对,stress,苹果,miss,1.38,unit,,,
001,e2,老房,v7,3.1m 正对,stress,石榴,miss,1.56,unit,,,
001,e2,老房,v7,3.1m 正对,stress,香蕉,miss,1.38,unit,,,
001,e2,老房,v7,3.1m 正对,stress,网球L,extra,2.1,unit,0.63,11.8,3.27
001,e2,老房,v7,3.1m 正对,stress,网球R,hit,1.56,unit,0.76,5.8,3.33
001,e2,老房,v7,3.1m 正对,stress,网球L,hit,2.1,unit,0.63,6.2,3.29
001,e2,老房,v7,3.1m 正对,stress,网球R,extra,1.56,unit,0.9,6.8,3.31
001,e2,老房,v7,3.1m 正对,stress,网球L,extra,2.1,unit,0.94,6.0,3.29
001,e2,老房,v7,3.1m 正对,stress,网球M,hit,3.21,unit,0.9,1.7,3.44
s1,s1,老房,v7,~1.6m 正对,,网球R,hit,5.41,unit,1.0,5.8,1.61
s1,s1,老房,v7,~1.6m 正对,,网球L,hit,5.02,unit,0.86,6.5,1.53
s1,s1,老房,v7,~1.6m 正对,,网球M,hit,7.69,unit,1.0,5.8,1.49
s1,s1,老房,v7,~1.6m 正对,,网球L,hit,5.02,unit,0.85,2.5,1.51
s1,s1,老房,v7,~1.6m 正对,,网球L,extra,5.02,unit,0.8,3.1,1.54
s1,s1,老房,v7,~1.6m 正对,,网球M,hit,5.404999999999999,station,1.0,11.7,1.5
s1,s1,老房,v7,~1.6m 正对,,网球M,hit,5.404999999999999,station,1.0,11.7,1.5
s1,s1,老房,v7,~1.6m 正对,,网球R,hit,5.41,unit,0.99,6.4,1.59
s1,s1,老房,v7,~1.6m 正对,,网球L,hit,5.404999999999999,station,0.88,12.3,1.58
s1,s1,老房,v7,~1.6m 正对,,网球L,hit,5.404999999999999,station,0.88,12.3,1.58
s1,s1,老房,v7,~1.6m 正对,,网球M,hit,7.69,unit,1.0,5.7,1.52
s1,s1,老房,v7,~1.6m 正对,,网球R,hit,5.41,unit,0.99,6.2,1.6
s1,s1,老房,v7,~1.6m 正对,,网球M,hit,7.69,unit,1.0,6.8,1.51
s1,s1,老房,v7,~1.6m 正对,,网球R,hit,5.404999999999999,station,0.97,13.3,1.61
s1,s1,老房,v7,~1.6m 正对,,网球R,hit,5.404999999999999,station,0.97,13.3,1.61
s1,s1,老房,v7,~1.6m 正对,,网球L,hit,5.02,unit,0.87,6.7,1.59
s2,s2,老房,v7,~2.5m 正对,,网球M,hit,4.47,unit,0.99,6.3,2.35
s2,s2,老房,v7,~2.5m 正对,,网球R,hit,2.55,unit,0.89,6.2,2.48
