session,req_id,skill,object,goal,start,dist_m,waypoints,nav_s,grasp_s,place_s,accept_to_done_s,final
20260824-211233,20260824-211233-001,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.081, 0.348, 1.495]",0.62,5,0.96,6.25,,7.23,done
20260824-211233,20260824-211233-002,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[0.439, 0.241, 1.514]",1.09,74,11.83,5.2,,17.06,done
20260824-211233,20260824-211233-003,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.075, 0.553, 1.262]",0.43,1,0.1,5.34,,5.46,done
20260824-211233,20260824-211233-006,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.075, 0.557, 1.262]",0.43,1,0.1,5.9,,6.03,done
20260824-211233,20260824-211233-007,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.077, 0.562, 1.263]",0.42,1,0.1,6.0,,6.13,done
20260824-211233,20260824-211233-008,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.202, -0.382, 1.501]",1.32,18,4.38,5.7,,10.11,done
20260824-211233,20260824-211233-009,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.162, 0.531, 1.32]",0.42,1,0.1,6.52,,6.65,done
20260824-211233,20260824-211233-010,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.164, 0.534, 1.32]",0.42,1,0.1,5.46,,5.58,done
20260824-211233,20260824-211233-011,grasp,banana,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.158, 0.536, 1.324]",0.42,1,0.15,6.41,,6.59,done
20260824-211233,20260824-211233-012,grasp,orange,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.16, 0.533, 1.323]",0.42,1,0.1,6.25,,6.38,done
20260824-211233,20260824-211233-013,grasp,orange,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.159, 0.535, 1.324]",0.42,1,0.1,6.12,,6.24,done
20260824-211233,20260824-211233-014,grasp,banana,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.161, 0.538, 1.324]",0.41,1,0.1,6.25,,6.38,done
20260824-211233,20260824-211233-015,grasp,orange,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.16, 0.535, 1.324]",0.42,1,0.1,6.26,,6.38,done
20260824-211233,20260824-211233-016,grasp,bottle,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.155, 0.542, 1.326]",0.41,1,0.1,5.05,,5.18,done
20260824-211233,20260824-211233-017,grasp,bottle,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.161, 0.539, 1.325]",0.41,1,0.15,4.85,,5.03,done
20260824-211233,20260824-211233-018,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.16, 0.538, 1.325]",0.41,1,0.1,6.22,,6.35,done
20260824-211233,20260824-211233-019,grasp,banana,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.16, 0.539, 1.326]",0.41,1,0.15,6.42,,6.59,done
20260824-211233,20260824-211233-020,grasp,cup,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.161, 0.541, 1.326]",0.41,1,0.1,6.32,,6.44,done
20260824-213739,20260824-213739-001,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.17, 0.544, 1.326]",0.4,1,0.1,5.19,,5.32,done
20260824-213739,20260824-213739-001p,grasp,,"[0.3869801191544638, -0.32637150358149697, -2.129908057969151]","[1.154, 0.537, 1.33]",1.15,42,7.71,,,7.73,done
20260824-215208,20260824-215208-001,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[0.071, -0.487, 1.36]",1.87,46,6.89,5.35,,12.27,done
20260824-215337,20260824-215337-001,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.061, 0.524, 1.318]",0.47,1,0.1,5.24,,5.37,done
20260824-215434,20260824-215434-001,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.062, 0.525, 1.319]",0.46,1,0.1,5.24,,5.37,done
20260824-215434,20260824-215434-002,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.055, 0.528, 1.324]",0.46,1,0.1,5.14,,5.27,done
20260824-215434,20260824-215434-003,grasp,apple,"[1.2833364829619072, 0.9324509525691715, 1.3360919420308486]","[1.056, 0.538, 1.324]",0.46,1,0.15,5.19,,5.37,done
20260824-215434,20260824-215434-004,grasp,,"[-0.1618868504993708, -0.9065425587035633, -2.1839080579691514]","[1.059, 0.534, 1.324]",1.89,51,7.7,,,7.73,done
20260824-215434,20260824-215434-005,grasp,,"[-0.48245486222539025, -0.8103105547968608, -2.415908057969151]","[-0.07, -0.992, -2.143]",0.45,5,1.56,,,1.58,done
