session,voice,t_word,t_end_wall,asr_s,text,kind,object_query,object_deictic,noun_class,dest_deictic,to_user,bind_first,bind_vote,bind_dwell_s,bind_gap_s,bind_candidates,res_mode,res_object,res_dest,valid_binding,req_id,skill,detect_name,hint,dog_accepted,reject_reason,sent_wall,accepted_wall,final_state,done_wall,speech_to_dispatch_s,accept_to_done_s,final_msg,chain_req,chain_skill,chain_state,chain_accept_to_done_s
20260824-211233,False,4.02,,,拿一下网球L,named,球L,False,,False,False,,,,,,名字,球L,,yes,20260824-211233-001,grasp,apple,"[0.849, 0.359, 0.778]",True,,1787577157.83,1787577159.47,done,1787577166.7,,7.23,All tasks finished successfully.,,,,
20260824-211233,False,184.32,,,拿一下网球L,named,球L,False,,False,False,,,,,,名字,球L,,yes,20260824-211233-002,grasp,apple,"[0.849, 0.359, 0.778]",True,,1787577338.12,1787577339.16,done,1787577356.23,,17.06,All tasks finished successfully.,,,,
20260824-211233,False,215.79,,,拿一下网球R,named,球R,False,,False,False,,,,,,名字,球R,,yes,20260824-211233-003,grasp,apple,"[1.18, 0.355, 0.777]",True,,1787577369.59,1787577371.78,done,1787577377.25,,5.46,All tasks finished successfully.,,,,
20260824-211233,False,234.78,,,拿一下白杯1,named,白杯1,False,,False,False,,,,,,名字,白杯1,,yes,,,,,,,,,,,,,,,,,
20260824-211233,False,235.79,,,拿一下白杯1,named,白杯1,False,,False,False,,,,,,名字,白杯1,,yes,,,,,,,,,,,,,,,,,
20260824-211233,False,260.66,,,拿一下白杯1,named,白杯1,False,,False,False,,,,,,名字,白杯1,,yes,20260824-211233-006,grasp,cup,"[1.145, 0.482, 0.804]",True,,1787577414.46,1787577415.61,done,1787577421.64,,6.03,All tasks finished successfully.,,,,
20260824-211233,False,283.02,,,拿一下白杯2,named,白杯2,False,,False,False,,,,,,名字,白杯2,,yes,20260824-211233-007,grasp,cup,"[1.28, 0.447, 0.804]",True,,1787577436.83,1787577437.92,done,1787577444.04,,6.13,All tasks finished successfully.,,,,
20260824-211233,False,342.58,,,拿一下白杯1,named,白杯1,False,,False,False,,,,,,名字,白杯1,,yes,20260824-211233-008,grasp,cup,"[1.145, 0.482, 0.804]",True,,1787577496.38,1787577497.62,done,1787577507.73,,10.11,All tasks finished successfully.,,,,
20260824-211233,False,379.05,,,拿一下红杯,named,红杯,False,,False,False,,,,,,名字,红杯,,yes,20260824-211233-009,grasp,cup,"[1.235, 0.603, 0.797]",True,,1787577532.85,1787577534.09,done,1787577540.74,,6.65,All tasks finished successfully.,,,,
20260824-211233,False,402.3,,,拿一下红苹果,named,苹果红,False,,False,False,,,,,,名字,苹果红,,yes,20260824-211233-010,grasp,apple,"[0.875, 0.479, 0.8]",True,,1787577558.61,1787577559.64,done,1787577565.23,,5.58,All tasks finished successfully.,,,,
20260824-211233,False,425.66,,,拿一下香蕉,named,香蕉,False,,False,False,,,,,,名字,香蕉,,yes,20260824-211233-011,grasp,banana,"[0.99, 0.59, 0.763]",True,,1787577581.96,1787577583.07,done,1787577589.66,,6.59,All tasks finished successfully.,,,,
20260824-211233,False,474.72,,,拿一下橘子,named,橘子,False,,False,False,,,,,,名字,橘子,,yes,20260824-211233-012,grasp,orange,"[0.867, 0.574, 0.778]",True,,1787577631.03,1787577631.95,done,1787577638.33,,6.38,All tasks finished successfully.,,,,
20260824-211233,False,503.97,,,拿一下橘子,named,橘子,False,,False,False,,,,,,名字,橘子,,yes,20260824-211233-013,grasp,orange,"[0.867, 0.574, 0.778]",True,,1787577657.78,1787577658.45,done,1787577664.69,,6.24,All tasks finished successfully.,,,,
20260824-211233,False,598.56,,,拿一下香蕉,named,香蕉,False,,False,False,,,,,,名字,香蕉,,yes,20260824-211233-014,grasp,banana,"[0.99, 0.59, 0.763]",True,,1787577752.37,1787577753.47,done,1787577759.85,,6.38,All tasks finished successfully.,,,,
20260824-211233,False,652.34,,,拿一下橘子,named,橘子,False,,False,False,,,,,,名字,橘子,,yes,20260824-211233-015,grasp,orange,"[0.867, 0.574, 0.778]",True,,1787577806.14,1787577807.51,done,1787577813.89,,6.38,All tasks finished successfully.,,,,
20260824-211233,False,688.95,,,拿一下水瓶,named,水瓶,False,,False,False,,,,,,名字,水瓶,,yes,20260824-211233-016,grasp,bottle,"[0.992, 0.455, 0.826]",True,,1787577842.76,1787577843.86,done,1787577849.03,,5.18,All tasks finished successfully.,,,,
