rec,card,kind,person,loc_rate,dM,dL,dR,alpha_deg,eye_h,theta_med,theta_min,theta_max,bins
p1_v1,v1,球卡,p1,0.91,1.70,1.70,1.70,-0,1.42,3.03,2.22,3.97,1.5-2.5:5 2.5-4:10
p1_v4,v4,球卡,p1,0.93,2.22,2.19,2.23,-4,1.45,1.88,1.44,2.59,1-1.5:5 1.5-2.5:5 2.5-4:5
v1_near,v1,球卡,本人,0.90,1.34,1.29,1.40,-17,1.62,5.00,4.42,5.64,4-6:15
v2_near,v2,球卡,本人,0.91,1.26,1.34,1.20,23,1.60,5.61,5.36,7.05,4-6:10 6-20:5
v2_near_p2,v2,球卡,p2,0.91,1.05,0.97,1.14,-25,1.31,5.47,5.03,6.15,4-6:10 6-20:5
v4,v4,球卡,本人,0.92,2.51,2.50,2.52,-2,1.64,1.88,1.44,2.57,1-1.5:5 1.5-2.5:5 2.5-4:5
v6_far,v6,综合卡,本人,0.89,2.99,2.96,3.00,-5,1.67,0.83,0.47,1.94,0.5-0.75:3 1-1.5:5 1.5-2.5:1 <0.5:3
v6_mid,v6,综合卡,本人,0.91,1.80,1.79,1.80,-1,1.65,2.04,1.40,3.99,1-1.5:6 2.5-4:6
v6_move,v6,综合卡,本人,0.86,1.08,1.07,1.11,-8,1.60,4.81,3.70,8.16,2.5-4:3 4-6:5 6-20:4
v6_near,v6,综合卡,本人,0.87,1.23,1.16,1.31,-24,1.63,4.28,2.99,6.43,2.5-4:3 4-6:8 6-20:1
