rec,card,map,tags,target,k,theta_deg,reliable,has_window,outcome_ungated,answer_ungated,outcome_gated,answer_gated
2026_08_16/000,e1,v7,,苹果,1,4.22,1,1,correct,苹果,correct,苹果
2026_08_16/000,e1,v7,,球M,2,8.3,1,1,correct,球M,correct,球M
2026_08_16/000,e1,v7,,石榴,3,6.01,1,1,correct,石榴,correct,石榴
2026_08_16/000,e1,v7,,香蕉,4,4.22,1,1,correct,香蕉,correct,香蕉
2026_08_16/000,e1,v7,,球R,5,6.01,1,1,correct,球R,none,
2026_08_16/000,e1,v7,,球L,6,5.53,1,1,correct,球L,correct,球L
2026_08_16/000,e1,v7,,球M,7,8.3,1,1,correct,球M,correct,球M
2026_08_16/000,e1,v7,,石榴,8,6.01,1,1,correct,石榴,correct,石榴
2026_08_16/000,e1,v7,,香蕉,9,4.22,1,1,correct,香蕉,correct,香蕉
2026_08_16/000,e1,v7,,球L,10,5.53,1,1,correct,球L,none,
2026_08_16/000,e1,v7,,苹果,11,4.22,1,1,correct,苹果,correct,苹果
2026_08_16/000,e1,v7,,球R,12,6.01,1,1,correct,球R,none,
2026_08_16/001,e2,v7,stress,球L,1,2.1,0,1,correct,球L,none,
2026_08_16/001,e2,v7,stress,球R,2,1.56,0,1,correct,球R,correct,球R
2026_08_16/001,e2,v7,stress,苹果,3,1.38,0,0,unknown,,unknown,
2026_08_16/001,e2,v7,stress,石榴,4,1.56,0,0,unknown,,unknown,
2026_08_16/001,e2,v7,stress,球M,5,3.21,0,1,correct,球M,none,
2026_08_16/001,e2,v7,stress,香蕉,6,1.38,0,0,unknown,,unknown,
2026_08_16/001,e2,v7,stress,苹果,7,1.38,0,0,unknown,,unknown,
2026_08_16/001,e2,v7,stress,石榴,8,1.56,0,0,unknown,,unknown,
2026_08_16/001,e2,v7,stress,香蕉,9,1.38,0,0,unknown,,unknown,
2026_08_16/001,e2,v7,stress,球R,10,1.56,0,1,correct,球R,correct,球R
2026_08_16/001,e2,v7,stress,球L,11,2.1,0,1,correct,球L,none,
2026_08_16/001,e2,v7,stress,球M,12,3.21,0,1,correct,球M,correct,球M
2026_08_16/s1,s1,v7,,球R,1,5.41,1,1,correct,球R,correct,球R
2026_08_16/s1,s1,v7,,球L,2,5.02,1,1,correct,球L,correct,球L
2026_08_16/s1,s1,v7,,球M,3,7.69,1,1,correct,球M,correct,球M
2026_08_16/s1,s1,v7,,球L,4,5.02,1,1,correct,球L,correct,球L
2026_08_16/s1,s1,v7,,球M,5,7.69,1,1,correct,球M,correct,球M
2026_08_16/s1,s1,v7,,球M,6,7.69,1,1,correct,球M,correct,球M
2026_08_16/s1,s1,v7,,球R,7,5.41,1,1,correct,球R,correct,球R
2026_08_16/s1,s1,v7,,球L,8,5.02,1,1,correct,球L,correct,球L
2026_08_16/s1,s1,v7,,球L,9,5.02,1,1,correct,球L,correct,球L
2026_08_16/s1,s1,v7,,球M,10,7.69,1,1,correct,球M,correct,球M
2026_08_16/s1,s1,v7,,球R,11,5.41,1,1,correct,球R,correct,球R
2026_08_16/s1,s1,v7,,球M,12,7.69,1,1,correct,球M,correct,球M
2026_08_16/s1,s1,v7,,球R,13,5.41,1,1,correct,球R,correct,球R
2026_08_16/s1,s1,v7,,球R,14,5.41,1,1,correct,球R,correct,球R
2026_08_16/s1,s1,v7,,球L,15,5.02,1,1,correct,球L,correct,球L
2026_08_16/s2,s2,v7,,球M,1,4.47,1,1,correct,球M,correct,球M
2026_08_16/s2,s2,v7,,球R,2,2.55,1,1,correct,球R,correct,球R
2026_08_16/s2,s2,v7,,球M,3,4.47,1,1,correct,球M,correct,球M
2026_08_16/s2,s2,v7,,球R,4,2.55,1,1,correct,球R,correct,球R
2026_08_16/s2,s2,v7,,球L,5,2.85,1,1,correct,球L,correct,球L
2026_08_16/s2,s2,v7,,球R,6,2.55,1,1,correct,球R,correct,球R
2026_08_16/s2,s2,v7,,球M,7,4.47,1,1,correct,球M,correct,球M
2026_08_16/s2,s2,v7,,球L,8,2.85,1,1,correct,球L,correct,球L
